public_event_id,event_month,post_count,repost_count_sum,comment_count_sum,praise_count_sum,has_coordinates,has_place_name,has_address
sh_weibo_event_0001,2017-01,1,0,0,0,1,1,1
sh_weibo_event_0002,2017-09,1,0,1,1,1,1,1
sh_weibo_event_0003,2017-09,2,0,0,0,1,1,1
sh_weibo_event_0004,2017-11,1,0,0,0,1,1,1
sh_weibo_event_0005,2018-01,1,0,0,0,1,1,1
sh_weibo_event_0006,2018-03,1,0,0,0,1,1,1
sh_weibo_event_0007,2018-05,1,0,0,0,1,1,1
sh_weibo_event_0008,2019-01,1,0,1,1,1,1,1
sh_weibo_event_0009,2019-03,1,0,1,1,1,1,1
sh_weibo_event_0010,2019-03,1,0,0,0,1,1,1
sh_weibo_event_0011,2019-03,1,0,0,0,1,1,1
sh_weibo_event_0012,2019-03,1,0,0,0,1,1,1
sh_weibo_event_0013,2019-03,1,0,0,0,1,1,1
sh_weibo_event_0014,2019-03,1,6,9,28,1,1,1
sh_weibo_event_0015,2019-04,1,0,0,0,1,1,1
sh_weibo_event_0016,2019-04,1,0,0,3,1,1,1
sh_weibo_event_0017,2019-04,1,0,0,0,1,1,1
sh_weibo_event_0018,2019-04,1,0,0,2,1,1,1
sh_weibo_event_0019,2019-04,1,0,0,1,1,1,1
sh_weibo_event_0020,2019-04,1,0,0,0,1,1,1
sh_weibo_event_0021,2019-05,1,0,1,1,1,1,1
sh_weibo_event_0022,2019-05,1,0,0,0,1,1,1
sh_weibo_event_0023,2019-05,1,0,0,1,1,1,1
sh_weibo_event_0024,2019-05,1,1,2,2,1,1,1
sh_weibo_event_0025,2019-05,1,0,0,1,1,1,1
sh_weibo_event_0026,2019-05,1,0,0,0,1,1,1
sh_weibo_event_0027,2019-05,1,0,3,2,1,1,1
sh_weibo_event_0028,2019-06,1,0,1,3,1,1,1
sh_weibo_event_0029,2019-06,1,0,0,1,1,1,1
sh_weibo_event_0030,2019-06,1,0,1,1,1,1,1
