feature_value,shap_value
17.0,-0.10228161
17.0,-0.05767774
9.0,-0.4211003
12.0,-0.10207432
17.0,-0.058184907
17.0,-0.03361474
7.0,-0.43205488
15.0,-0.36084497
26.0,-0.19378881
16.0,-0.16434757
10.0,-0.29299635
30.0,-0.032718003
68.0,0.19764376
15.0,-0.15545766
18.0,0.29544306
17.0,-0.07842177
26.0,-0.13660848
28.0,-0.040859748
32.0,0.23640382
26.0,-0.14941657
22.0,-0.018936573
22.0,-0.13321231
21.0,-0.05144074
22.0,-0.12686126
17.0,0.09232122
15.0,-0.18169689
17.0,-0.039462514
14.0,-0.27858457
4.0,0.40616655
15.0,0.038817532
14.0,-0.10473918
17.0,0.15161525
30.0,0.003475367
22.0,-0.07375681
17.0,-0.12606229
7.0,-0.41466627
27.0,0.1307817
21.0,-0.14615376
22.0,-0.053647578
15.0,-0.14320038
17.0,0.028405095
20.0,0.020989103
21.0,-0.1916965
19.0,-0.095160775
12.0,-0.10566351
22.0,0.017856732
24.0,-0.054054275
28.0,0.06883108
12.0,-0.006927986
9.0,-0.50709254
17.0,0.05323832
17.0,-0.00570794
39.0,0.18458878
22.0,-0.009652178
7.0,-0.5581809
22.0,-0.062921174
27.0,0.15121876
25.0,-0.16296689
12.0,-0.116387084
13.0,-0.03799858
12.0,-0.15041538
27.0,-0.029602455
22.0,-0.16316909
22.0,0.06363651
22.0,-0.07458426
7.0,-0.5692537
20.0,-0.17888013
17.0,-0.09324132
11.0,-0.5543448
12.0,0.030945487
18.0,0.08431277
14.0,-0.10116501
1.0,0.06897725
22.0,-0.07803481
28.0,0.09677253
19.0,-0.075296886
19.0,-0.15159678
21.0,-0.1658328
13.0,-0.23366758
12.0,-0.094231576
17.0,-0.060580328
26.0,-0.08830812
22.0,-0.122725464
17.0,-0.06163072
13.0,-0.082655914
42.0,0.24231485
27.0,-0.023005817
7.0,-0.5836404
12.0,-0.09338786
21.0,-0.22312932
25.0,-0.1299531
20.0,-0.088561535
25.0,-0.21605101
8.0,-0.26706815
13.0,-0.15639661
34.0,0.48903567
6.0,0.41070226
19.0,-0.13864395
24.0,-0.2044102
28.0,0.006624751
21.0,-0.13234068
20.0,-0.06269828
27.0,0.03872675
24.0,-0.18750192
17.0,0.08544011
17.0,0.05882331
20.0,-0.20718217
21.0,-0.09309697
16.0,-0.16434757
10.0,-0.43804538
17.0,-0.10683561
22.0,-0.015935866
25.0,-0.12525225
19.0,-0.024596786
11.0,-0.31307957
27.0,-0.07897207
12.0,-0.23240916
14.0,-0.15957646
45.0,0.11940469
17.0,-0.07488444
10.0,-0.29685804
20.0,-0.08831662
22.0,-0.18524359
6.0,0.30486012
17.0,-0.047828775
21.0,-0.05580149
37.0,0.19702071
19.0,-0.08492781
16.0,-0.08068243
28.0,-0.042222057
28.0,0.016159402
33.0,0.2395577
17.0,0.029254353
17.0,0.10673036
57.0,0.23906407
12.0,-0.162033
13.0,0.07996013
17.0,0.029552305
27.0,-0.0036291406
12.0,0.1250675
11.0,-0.028216578
17.0,-0.028786894
42.0,0.28132653
18.0,0.25929302
11.0,-0.24339513
13.0,-0.18923126
22.0,-0.25855452
20.0,-0.20610698
21.0,-0.09913293
12.0,0.0106942365
24.0,-0.116874695
10.0,-0.6505894
15.0,-0.0009903162
22.0,-0.13933933
4.0,0.19671151
17.0,-0.054918747
27.0,-0.09473252
20.0,0.019009694
27.0,-0.025206788
7.0,-0.2934106
17.0,0.05417782
32.0,0.33196628
26.0,-0.10285272
7.0,-0.2500095
22.0,-0.0694917
32.0,0.290085
18.0,0.21518409
