feature_value,shap_value
0.55,-0.026087554
1.53,-0.1710769
2.5,-0.014076972
1.5,-0.16826089
0.8,-0.19679917
4.8,0.27053347
0.5,0.17417964
1.7,-0.124021955
0.35,-0.055602245
2.1,-0.111497946
1.5,-0.09857616
0.35,-0.16382141
0.7,-0.044285398
1.9,-0.18687163
0.6,-0.061110735
1.3,-0.08606044
0.5,-0.020844012
0.6,0.12768222
0.65,-0.015367683
1.55,-0.16584611
0.5,0.08177354
1.2,0.0451937
1.05,-0.025134422
0.24,-0.2075129
0.75,0.030199826
2.3,-0.15595461
1.35,-0.07646013
0.7,-0.03313707
4.3,0.15025112
4.7,0.2657948
1.85,-0.16041711
1.8,-0.25850123
1.2,0.01993011
0.6,0.06317871
3.8,0.12062075
1.3,0.09369909
0.6,0.036991805
2.0,0.035927728
0.8,0.095201194
0.3,0.16159253
0.46,0.042742997
1.2,0.08754501
1.5,-0.19383954
0.45,0.089592375
2.2,-0.045515522
0.8,0.08273455
0.6,0.032313086
0.6,0.123415634
0.5,-0.053282466
3.5,0.048963286
2.3,-0.06425122
0.9,-0.07349205
1.0,0.090816274
1.5,-0.14545272
0.8,-0.03815668
0.5,0.042292207
7.5,-0.54613
5.0,-0.507195
1.96,-0.19873413
1.7,-0.12158226
0.7,-0.07131546
0.95,-0.11186702
0.25,0.025528414
0.45,0.31806907
1.6,-0.13570699
1.2,0.013089743
2.2,-0.10001494
1.5,-0.07791168
5.6,-0.41478086
1.5,-0.19531664
2.3,-0.15072176
1.1,-0.0136484895
4.4,0.37126416
0.2,-0.13076748
0.8,0.055513065
1.95,0.033093136
0.6,0.06993126
1.5,-0.19047667
0.8,-0.04214712
2.25,-0.109579116
0.4,-0.07210906
0.3,-0.11856936
1.5,-0.18672186
1.5,-0.07428463
3.5,0.4162762
0.6,-0.045872133
1.8,-0.11691095
1.12,-0.0054282523
0.85,-0.07977649
1.5,-0.2051773
0.7,0.07414502
1.6,-0.09887731
0.5,0.024714109
3.8,0.36465955
0.5,-0.15248574
0.8,0.044066634
3.3,0.1868339
2.0,-0.16775186
3.8,0.23860101
0.3,-0.20484382
1.2,0.009591993
0.73,0.0873249
0.55,0.03326445
1.2,-0.016284395
0.8,-0.042668268
2.0,-0.05632888
3.2,0.13800523
1.5,-0.20672432
2.1,-0.111497946
2.5,-0.09133146
2.5,0.080869935
0.8,0.035291046
0.8,-0.034500647
0.8,0.020716961
2.5,-0.01598132
0.5,0.00240775
0.6,-0.075035304
2.3,-0.1231402
0.6,-0.03888458
6.0,-0.19890442
2.9,-0.13050371
1.1,0.00027253712
1.21,-0.049314477
1.2,0.02650211
0.5,0.12629715
1.2,0.048944976
0.8,0.05004784
0.45,0.02869371
1.5,-0.18575953
0.2,-0.018485282
1.0,-0.065853305
0.75,-0.023565505
2.3,-0.059782952
1.5,-0.14263403
0.45,0.027150314
0.47,0.1398448
0.6,0.2175317
0.5,-0.011635145
0.35,0.08796739
1.75,-0.17672963
2.2,0.07910871
0.5,-0.098216414
0.55,-0.062202122
1.7,-0.05181149
3.1,-0.034479264
3.5,0.25673208
1.0,-0.07999465
