feature_value,shap_value
18.0,-0.14397746
72.0,0.32984132
18.0,-0.14974451
39.0,0.2534137
9.0,-0.2058377
6.0,-0.15134273
27.0,0.37614965
9.0,-0.30051237
24.0,0.5408052
9.0,-0.31712827
36.0,0.33875647
24.0,0.3549712
18.0,-0.12315548
9.0,-0.27129838
15.0,-0.091717444
30.0,0.37495947
21.0,-0.0027966944
18.0,-0.15201275
18.0,-0.2046271
18.0,-0.13052931
18.0,-0.131307
18.0,-0.19767246
36.0,0.2144732
15.0,-0.16496405
21.0,-0.0858227
9.0,-0.29057518
45.0,0.13530032
12.0,-0.30333486
15.0,-0.014275347
18.0,-0.061589215
15.0,-0.058046248
18.0,-0.1514138
78.0,0.85772276
15.0,-0.16882999
33.0,0.21210456
33.0,0.45259753
9.0,-0.027607623
18.0,-0.29617357
15.0,-0.13467674
18.0,-0.21562903
21.0,-0.09587097
21.0,0.14126784
9.0,-0.18002853
24.0,0.4404599
57.0,0.37502748
21.0,0.17068492
12.0,-0.13356583
24.0,0.26814497
36.0,0.40223873
12.0,-0.12077887
45.0,0.19799517
18.0,-0.14123313
18.0,-0.20419285
33.0,0.40070274
18.0,-0.27655828
18.0,-0.31645277
9.0,-0.040212937
8.0,-0.13265616
9.0,-0.32057515
33.0,0.29614562
9.0,-0.31750444
18.0,-0.23341134
9.0,-0.22446008
18.0,-0.14616545
18.0,-0.13350016
6.0,-0.403819
9.0,-0.3480875
21.0,-0.08344814
6.0,-0.15862334
69.0,0.47565818
9.0,-0.3236888
45.0,0.37571523
9.0,-0.32107607
18.0,-0.15744643
18.0,-0.19125308
21.0,0.0869321
9.0,-0.22629592
9.0,-0.2004257
36.0,0.41834512
12.0,-0.12631443
18.0,-0.09478593
18.0,-0.10902169
30.0,0.15097316
21.0,-0.00037294897
15.0,0.02786267
6.0,-0.14944848
9.0,-0.11115788
27.0,0.35624695
18.0,-0.15633853
9.0,-0.20780906
18.0,-0.1725635
36.0,0.21102627
18.0,-0.24409728
9.0,-0.25150985
9.0,-0.35814497
18.0,-0.10493654
9.0,-0.003030113
9.0,-0.28454745
6.0,-0.17899136
15.0,-0.10728679
21.0,0.73876476
18.0,-0.16956529
12.0,-0.15105006
21.0,0.006246584
18.0,-0.1087191
12.0,-0.054852653
9.0,-0.24915275
9.0,-0.13381004
9.0,-0.31712827
6.0,-0.1920036
9.0,-0.11400115
18.0,-0.1548926
18.0,-0.13759027
18.0,-0.15418899
12.0,-0.21485542
15.0,-0.119988374
18.0,-0.12574576
15.0,-0.11782917
18.0,-0.30824775
9.0,-0.28440973
21.0,-0.031275645
66.0,0.6264326
15.0,-0.18709674
30.0,0.06167367
18.0,-0.14253025
60.0,0.6074357
15.0,-0.23735079
18.0,-0.24155346
30.0,0.121131875
18.0,-0.16812877
36.0,0.2308609
18.0,-0.12946445
15.0,-0.06739517
36.0,0.39649504
18.0,-0.114817955
18.0,-0.22625802
15.0,-0.11067741
18.0,-0.17620954
18.0,-0.18401903
54.0,0.21025112
12.0,-0.056247395
18.0,-0.2034137
18.0,-0.18063684
45.0,0.5049977
15.0,-0.10661133
9.0,-0.2635462
54.0,0.24706596
18.0,-0.22698554
12.0,-0.014108751
66.0,0.34162584
18.0,-0.16419442
18.0,-0.16965868
18.0,-0.24492018
18.0,-0.21733394
36.0,0.22931749
9.0,-0.24609742
18.0,-0.19522399
78.0,1.0594878
18.0,-0.15677139
33.0,0.07000106
54.0,0.602781
6.0,-0.15420929
6.0,0.022414189
9.0,-0.15310092
18.0,-0.18141639
18.0,-0.22868204
18.0,-0.18394716
18.0,-0.14209326
6.0,-0.08173498
21.0,-0.023944307
21.0,0.06404179
18.0,-0.24089904
18.0,-0.151199
18.0,-0.15672028
9.0,-0.25706863
15.0,-0.050893642
18.0,-0.22544812
9.0,-0.25422928
12.0,-0.10239636
21.0,0.00912604
45.0,0.32907912
39.0,0.43315667
18.0,-0.18213288
21.0,0.026012681
18.0,-0.11514958
15.0,-0.13101402
9.0,-0.18904433
18.0,-0.16599862
15.0,-0.11033317
36.0,0.39766082
18.0,-0.193422
9.0,-0.16244762
30.0,0.121131875
9.0,-0.29506487
21.0,0.017379696
21.0,0.5300934
15.0,-0.07989214
9.0,-0.30379093
18.0,-0.16191885
18.0,-0.1920257
18.0,-0.107277334
18.0,-0.17355825
9.0,-0.2757496
9.0,-0.50019246
21.0,0.6348702
18.0,-0.18640244
6.0,-0.08244278
21.0,0.44249994
21.0,0.006375496
21.0,-0.020707568
18.0,-0.20967034
12.0,-0.07191632
18.0,-0.23227969
18.0,-0.17834684
9.0,-0.3254708
33.0,0.32503247
9.0,-0.26030415
18.0,-0.16870417
18.0,-0.19310571
48.0,0.4814792
21.0,0.5754327
18.0,-0.1426964
18.0,-0.1639543
33.0,0.18137036
18.0,-0.19797668
18.0,-0.19189592
