feature_value,shap_value
2.0,-0.06998594
1.6,-0.16153577
0.8,-0.2943017
3.6,0.14244838
4.0,0.88664556
0.29,-0.058405574
1.7,0.03576833
1.3,-0.0667036
1.6,0.15886167
0.7,-0.23558328
2.0,0.082489625
1.6,0.12868501
2.5,-0.025136353
0.9,-0.16611798
1.0,-0.021469936
1.2,-0.2606975
1.2,-0.076872855
1.8,0.09074509
2.2,-0.022963133
1.6,0.055893376
2.3,-0.18763192
1.4,0.10578755
2.0,-0.01995052
1.38,-0.0055367323
1.7,0.028881414
0.37,-0.2012934
2.5,0.08090914
1.2,-0.17466618
1.02,-0.66311926
0.5,-0.16322999
1.24,-0.16832583
1.17,-0.28198713
1.2,-0.352639
1.0,0.14599155
0.22,-0.19271088
2.3,-0.1010399
1.12,-0.21590349
0.5,-0.40540677
1.2,0.111905046
1.2,-0.1999628
2.0,-0.046110366
1.8,0.24101809
1.8,0.073802225
1.2,-0.15439393
2.5,0.101476684
1.8,0.26145387
1.3,0.0066321897
2.0,-0.02340954
1.8,0.14503734
1.3,-0.23797494
3.8,-0.030926747
1.8,0.051819675
2.2,-0.0043031424
1.68,0.3273268
1.2,-0.3990137
1.85,-0.08151465
1.2,-0.014242279
1.2,-0.10550618
0.2,-0.17337126
1.31,-0.08373197
1.39,-0.09073315
2.0,-0.019310024
2.1,0.14439148
1.3,-0.10013776
1.6,-0.0070420206
1.0,-0.0010430238
0.26,-0.038061827
0.5,-0.32263035
0.28,-0.09890563
2.0,0.072582595
0.3,-0.16520484
1.8,0.12300369
0.7,-0.24809141
1.3,-0.045871146
1.2,-0.07253906
3.3,0.0589917
2.0,-0.014913857
1.8,0.0959159
1.8,0.018699545
0.6,-0.35634625
1.6,-0.012365911
3.2,-0.2524354
2.6,0.06527796
1.22,-0.31903315
0.42,-0.19823097
1.5,-0.10184468
0.5,-0.2755557
2.3,-0.14821371
1.9,-0.06665153
1.8,0.08520256
2.0,0.0065979
1.07,-0.7396748
2.6,0.035900347
0.66,-0.2110122
1.2,-0.09960042
1.2,0.011974968
1.4,-0.21511231
1.6,-0.033749927
1.2,-0.16062345
2.2,-0.17530648
1.2,-0.059418768
1.75,0.13228066
1.2,-0.053508088
1.2,-0.11891094
1.79,0.048964072
1.8,-0.01332539
0.37,-0.12134014
1.8,0.043798324
0.7,-0.23558328
0.34,-0.33248958
0.28,-0.11523976
1.2,-0.11384422
1.8,0.054138582
1.22,-0.3802502
1.6,-0.022923848
2.4,-0.12762779
1.8,-0.019517701
0.8,-0.43572596
1.8,-0.010803099
0.24,-0.22307916
1.0,-0.30055058
1.8,0.07602037
1.39,-0.14986023
2.0,0.08628368
1.8,0.026000421
3.12,0.043293525
1.7,0.08875616
1.2,-0.12662104
2.19,-0.06544464
2.2,0.0022822712
1.23,-0.23982644
3.2,-0.109881036
1.6,0.030374624
1.7,0.14997739
1.5,-0.031265568
1.5,0.031037293
1.86,0.2725645
1.2,-0.16988419
2.8,0.09096821
2.06,0.09793204
1.3,0.053731263
2.14,-0.1407986
1.7,-0.062274214
2.3,0.17498492
1.2,-0.21026127
0.34,-0.25525504
2.2,0.11494898
1.2,-0.44655278
1.9,-0.15179566
2.75,0.072738774
1.2,-0.16264598
1.68,0.20455265
1.8,0.12739338
0.88,-0.28281072
0.8,-0.25009802
0.59,-0.24899454
1.3,-0.074619256
3.35,0.09002316
1.2,-0.16907398
1.66,-0.048411153
2.1,0.030298902
0.29,0.016756285
1.2,0.011525283
1.2,-0.13813345
2.14,-0.0843103
2.78,0.10878176
4.0,0.41285777
1.78,0.11531108
0.5,-0.048523467
1.2,-0.18457144
1.5,-0.03314322
3.2,0.012103101
1.6,0.006572118
4.0,0.17048429
0.5,-0.22515374
1.6,0.04583458
0.85,-0.36601847
0.3,-0.042488493
1.2,-0.10056225
1.2,-0.12525804
2.8,0.18024988
1.5,-0.016518258
1.3,-0.063406035
1.5,0.10429593
1.7,0.06566179
1.5,0.027885642
1.16,-0.3456941
1.34,-0.0023778952
1.42,0.0323614
1.6,0.102762856
1.2,-0.1202072
1.38,-0.06587928
2.19,-0.06544464
0.7,-0.18753172
0.35,-0.36171046
2.11,-0.09701264
1.2,-0.2196344
1.14,-0.26952264
1.2,-0.43520105
1.9,-0.0054193656
2.0,-0.011589866
1.85,0.030279392
2.1,0.12419429
1.2,-0.016727533
1.3,-0.10138605
1.5,-0.20689169
0.5,-0.163025
0.3,-0.13622361
1.81,0.06956762
1.6,0.07048126
1.2,-0.12725163
1.8,-0.0312936
2.5,0.07290025
1.5,-0.076167546
0.68,-0.066332944
1.2,-0.22924054
1.56,0.07347335
1.7,-0.040573478
1.1,-0.17002626
1.8,0.15031487
1.2,-0.06337334
1.6,0.0458336
1.8,-0.0017273498
0.3,0.00088967034
2.0,0.003193424
1.55,0.15539451
0.8,-0.10036997
1.0,-0.19376512
3.0,-0.06740494
1.5,0.030709423
1.8,-0.006213713
0.5,-0.011233005
0.45,-0.114981286
2.31,0.03014099
1.98,-0.013369523
1.2,-0.03941486
2.0,0.04078555
1.3,-0.21509351
1.2,-0.106729046
1.48,-0.19487138
0.8,-0.15316023
0.7,-0.12910712
1.2,-0.18776485
0.7,-0.048602287
2.0,0.013269246
1.9,-0.048226714
1.1,-0.18640332
1.59,-0.003583414
2.3,-0.15470658
1.7,0.07520379
1.2,-0.1968707
1.2,0.026911832
0.35,-0.11163217
1.2,-0.024274858
2.0,0.04687888
1.7,-0.033878013
2.0,-0.0046086777
2.0,-0.037347287
0.7,-0.1457737
1.2,-0.28297642
3.0,-0.037576485
1.9,-0.038506903
1.4,-0.03282563
2.0,-0.034950487
1.2,-0.14218871
1.36,-0.18350333
0.42,-0.16911842
0.3,-0.18788676
1.8,0.216333
1.2,-0.11805908
3.75,0.08490786
2.5,0.25353467
0.8,-0.14805438
1.2,-0.10008408
1.28,-0.24401551
3.2,0.0448779
1.79,0.08965483
0.5,-0.38749534
1.0,-0.25773898
1.8,-0.0014933373
2.0,-0.07000836
2.9,0.41160357
0.5,-0.09338359
1.7,0.08546028
2.0,-0.026381494
1.96,0.017611805
1.2,-0.05558907
2.16,-0.005342
1.2,-0.07061198
1.64,-0.0391561
1.5,0.09014891
1.8,0.057154037
0.5,-0.1726872
1.2,-0.11454683
2.6,-0.14792483
1.8,-0.024435516
0.78,-0.22906607
1.4,0.029328253
0.5,-0.12579596
0.5,-0.08753358
2.0,0.0035118621
1.9,-0.056388788
0.8,-0.17689934
1.8,-0.037150253
3.0,0.4023643
1.6,0.04147515
1.73,0.13251685
2.04,-0.04473207
0.4,-0.05409653
2.98,-0.12926449
1.41,-0.032421872
2.2,-0.10156793
1.6,0.048099555
0.5,-0.28404555
1.3,-0.08051857
1.4,-0.037518002
0.3,0.09440833
2.6,-0.007610825
1.55,0.018026296
1.0,-0.27301368
1.2,-0.53517294
1.2,0.007879455
0.8,-0.11247356
0.24,-0.18481244
0.9,-0.15336052
1.2,-0.14483944
1.5,0.0031155113
1.6,0.09289517
1.6,0.019185284
0.28,-0.17064238
