feature_value,shap_value
34551.0,-0.097684786
48537.0,-0.20497367
49707.0,-0.022127744
80287.0,0.051907577
32234.0,-0.084949315
131776.0,-0.07998364
37258.0,-0.24296841
65956.0,0.11204724
32600.0,-0.07186546
57490.0,-0.22027336
31654.0,-0.052507907
32600.0,-0.28337723
48699.0,-0.08188708
44593.0,-0.30058622
20765.0,-0.5863664
35346.0,0.28432137
20392.0,-0.68822813
37324.0,-0.13303974
77000.0,0.06826623
41705.0,-0.5894816
75262.0,0.053331733
20433.0,-0.3136799
53500.0,-0.062145513
21411.0,-0.6113272
16960.0,-0.44071075
52682.0,0.028401198
29511.0,-0.07054151
47400.0,-0.16091238
53000.0,-0.22564383
23400.0,0.09446734
38800.0,-0.30596492
52000.0,0.1481861
86317.0,0.36196563
37956.0,-0.11757072
97673.0,-0.13644847
36576.0,-0.2094472
28002.0,-0.27073646
15700.0,-0.63642395
25514.0,-0.21854109
37078.0,-0.35031122
15619.0,-0.9581807
151000.0,0.31936163
76364.0,-0.12344156
27840.0,0.14130858
55506.0,-0.0973736
75493.0,0.38648283
30443.0,-0.13183029
52184.0,0.07589587
28000.0,0.1235099
83809.0,0.24994251
122191.0,-0.0005997922
65888.0,0.083944604
56989.0,0.03268575
64205.0,0.10337653
57647.0,-0.10859998
45007.0,0.3253085
177208.0,-0.17709824
136363.0,-0.21308532
76189.0,-0.08408205
35330.0,0.19835573
49200.0,-0.0085505005
49000.0,-0.09384744
46400.0,-0.06594391
51117.0,0.35554525
36135.0,-0.28313476
37890.0,0.056745544
71088.0,0.12796839
18199.0,-0.44742978
209369.0,-0.14082079
58870.0,-0.11556266
56060.0,-0.16161984
41776.0,-0.56240225
28488.0,0.32983994
43723.0,-0.71801704
53750.0,0.012955972
86847.0,0.0995403
66230.0,0.11600873
76364.0,-0.0047591627
42956.0,-0.50550354
55381.0,-0.2878861
38942.0,-0.30150923
41122.0,-0.48906225
48214.0,-0.055387557
21148.0,-0.15713112
56331.0,-0.21340649
56485.0,-0.08096034
53985.0,-0.060293037
41926.0,-0.6029566
45200.0,0.31389782
76364.0,-0.13501611
49658.0,0.0509573
72030.0,0.063738145
16769.0,-0.8907906
43887.0,-0.34955618
20600.0,-0.27903238
50851.0,-0.10367131
48000.0,0.04962321
47189.0,0.004129298
74124.0,0.02117169
30259.0,-0.29026976
25069.0,0.579378
45747.0,-0.083942905
25400.0,-0.21148162
21869.0,0.10931909
52154.0,0.18795359
14650.0,-0.94001937
66112.0,0.029400136
76364.0,-0.09331546
57490.0,-0.22027336
71847.0,-0.05733494
89849.0,-0.17947939
31977.0,-0.27089563
33701.0,0.031056559
52301.0,0.21017909
27550.0,0.24432924
20317.0,-0.7554383
38207.0,-0.3465889
54025.0,-0.16682579
13464.0,-1.1863564
52152.0,-0.047039196
40467.0,-0.14800799
59622.0,0.06905653
49312.0,-0.08239479
30017.0,0.020370672
48794.0,0.0001305876
87757.0,0.19977172
40686.0,-0.3866803
27840.0,-0.04391136
38859.0,-0.24879244
63641.0,0.14141542
