feature_value,shap_value
260.0875,-0.17063928
1027.1845,-0.13208838
229.3969,-1.7656524
1064.1856,0.25590116
210.3947,-1.7554822
187.7021,-2.1750445
579.9463,0.056681704
282.9288,-0.26632264
732.9268,0.7935573
135.9237,-1.8297362
466.1805,0.37650833
413.7653,0.06742074
414.6445,0.15543284
168.649,-1.9364146
570.8985,-0.025537292
284.9671,0.023228966
442.1074,0.15101077
248.7355,-1.0670661
486.5154,0.35237014
512.7079,0.19719428
331.4937,-0.15593533
456.706,0.48762807
820.6436,0.7048972
349.3845,0.17522861
390.7328,-0.14457071
188.8918,-2.2023427
428.5884,0.567415
459.6823,0.62390924
721.2214,0.6065666
98.2953,-1.1661642
489.9353,0.2052266
451.1659,0.5656539
508.0159,0.54253364
419.3721,0.3576162
241.6381,-1.1788111
178.5469,-1.8464967
703.6356,0.3598266
623.1707,0.40019643
478.9617,0.65785366
659.9052,0.43893975
386.261,-0.24417683
856.4884,1.0958475
103.1305,-1.2890884
460.3725,0.30964553
340.9083,-0.26883098
738.1349,0.9952518
403.04,0.23301803
268.164,-0.20201632
769.6945,0.66074127
429.2956,0.44938457
391.8504,0.1289511
530.7766,0.17457104
451.2742,0.56626946
662.5461,0.7334331
834.6565,0.6036416
473.9241,0.6240207
344.8371,0.27017212
111.7268,-1.2639238
143.2625,-2.1412795
729.546,0.8140465
139.6005,-2.1256094
374.2125,-0.09349517
159.2312,-1.9732174
427.9409,1.0028064
462.2182,0.5262327
407.4351,0.048961457
140.6537,-2.4917736
367.2133,-0.12847431
227.5097,-1.9237813
345.7117,0.13073179
170.5214,-2.2607534
402.6034,0.17609379
240.9195,-1.0592152
303.6203,-0.15328425
400.5738,0.17011683
667.2252,0.61688423
89.2484,-1.3600925
158.8294,-1.870369
230.1536,-1.9889686
345.3011,0.1254623
203.8112,-1.7932436
341.7249,-0.14303984
538.9086,0.11852807
500.5721,-0.08960332
111.4661,-1.4446617
232.0059,-1.7804079
131.2936,-2.0926986
372.4871,-0.11237278
174.4393,-2.1340325
124.599,-2.3012207
494.7245,0.32032242
871.2098,0.41148418
504.5893,0.20343277
139.3911,-1.877784
253.2321,-1.4248377
310.8158,0.6334081
595.1575,0.15753756
385.3231,0.1600364
171.414,-2.3801935
341.7881,0.03230017
213.5741,-1.062532
548.5918,0.14414047
372.339,0.10111331
331.0966,-0.06061287
344.7924,0.06708331
515.5653,0.09983453
183.3935,-2.3068554
73.2826,-1.2781981
143.4735,-1.8297362
183.2065,-2.0438714
129.8757,-2.358954
626.5941,0.2325279
160.0682,-2.0752642
546.5357,0.25847563
158.9245,-1.7420421
439.0988,0.2203956
402.5823,0.17254597
518.6217,0.08477437
392.5253,-0.107723475
198.455,-1.9487085
456.0049,0.19860259
521.0756,0.20445059
451.8032,0.41573986
404.2709,-0.07831532
153.6989,-2.427621
408.014,0.12544961
483.3516,0.41874325
377.2561,0.2390181
346.4586,0.06307785
247.4124,-1.1550946
344.8307,0.054206382
211.3687,-2.017647
411.4724,0.1854777
643.4163,0.58367664
231.0752,-1.2073286
483.8725,0.3367912
804.8612,1.3533667
393.7863,0.124289855
349.9762,0.027824212
601.3425,0.23434518
686.9734,1.2051989
290.4911,-0.62899286
217.1324,-1.7745957
469.0567,0.90618116
225.8482,-2.0016868
174.7322,-2.2477767
612.8577,0.36567715
738.9325,0.793555
415.3244,0.05516036
521.7713,-0.010512099
343.9296,0.060863003
703.1793,0.81816304
713.482,1.0342721
546.2053,-0.010513635
100.0533,-1.1133127
124.4622,-2.0528395
588.2113,0.22388105
494.5713,0.74516904
212.5689,-1.4963132
587.463,0.072756186
408.2244,0.50309944
236.5586,-1.5188516
388.3246,0.16675079
99.1564,-1.2473186
583.2734,0.11256521
456.6139,0.67847437
606.8869,0.20118754
415.2016,0.19600123
160.8134,-1.1865164
389.5552,0.102959365
606.0879,0.15693195
445.662,0.4326045
221.2786,-2.0647511
343.3692,-0.18565266
123.816,-1.9608977
292.1631,-0.57712114
559.2877,0.00085154886
109.4177,-1.6289595
298.5281,-0.061707944
619.5431,0.11761194
1276.1836,0.13750164
474.2615,0.5996646
539.0785,0.11546746
570.2358,0.31077477
242.3487,-1.0615835
540.7233,0.0942182
233.5514,-1.3959827
569.4912,0.11274534
200.4776,-1.3143559
410.2463,0.21561052
334.6819,0.19143105
106.2829,-1.3525068
346.6481,0.06307785
250.9861,-1.1906787
388.6982,0.076143794
189.5946,-1.43508
360.7029,0.20866789
380.8063,-0.030293265
922.1733,-0.24996923
618.9163,0.33238167
555.4253,0.015294428
997.2328,0.15654655
130.2825,-2.0916183
344.2097,0.16634798
246.4726,-0.9456535
602.3922,0.25105008
115.3088,-1.5975411
147.5203,-1.6877836
659.5196,0.46266586
500.6808,-0.0071305903
487.0667,0.21784227
273.6094,-0.4406918
593.3126,0.13271922
926.8764,0.20406118
139.6534,-1.992575
308.1335,0.04449884
426.7381,0.69129544
238.2513,-1.6732835
514.7563,0.19643894
245.6464,-0.63085216
189.0718,-1.7500675
230.6706,-1.3756115
542.3219,0.2400639
301.924,0.15665793
437.4884,0.50131303
434.6779,0.6247917
136.8067,-2.1058187
166.3353,-1.91221
209.0432,-2.053441
414.659,0.04312574
495.7791,0.27567533
162.6766,-1.4610966
147.7428,-2.014127
700.388,0.9098584
431.5235,0.62338096
303.3429,0.16170883
264.05,-0.32484794
1407.5709,0.10997947
364.3819,-0.101257816
909.3016,0.08103454
272.2457,-0.3222933
130.5647,-1.6082524
477.124,0.7881347
158.1792,-2.1698318
512.6195,0.15710016
875.3035,0.060771085
393.2424,0.2300722
463.1677,0.25221804
400.0645,-0.10034051
294.2101,0.117553145
518.6636,0.2687371
372.2833,0.25493982
364.2623,0.13503394
234.2975,-1.5567219
490.2844,0.07757659
495.0783,0.43122596
493.0444,0.31323206
491.9684,0.3809267
195.424,-1.9233395
608.505,0.40105563
471.1278,0.47618726
676.7904,0.81195176
147.0049,-2.078081
694.0894,0.556412
436.9339,0.22231251
917.2966,0.051826775
362.7001,0.22012296
178.6459,-2.0958557
651.1124,0.7129748
549.013,-0.026293783
295.0151,-0.74010265
3111.1738,0.44176176
534.4767,0.08425091
239.7018,-1.5609702
313.1323,-0.14961955
682.2248,0.9447768
440.6744,0.5434497
678.7989,0.7783447
182.402,-2.3231575
128.454,-1.9658395
547.1831,0.09147911
939.4846,1.2545304
182.2723,-1.6740338
599.2838,0.2548916
443.1268,0.5225979
830.8125,0.76648337
552.2941,0.21236563
71.326,-1.416494
166.5866,-2.03918
873.2557,-0.092892975
360.5672,0.14021075
447.0173,0.52098364
147.4514,-2.398335
447.2583,0.53503454
271.2519,-0.43387696
481.797,0.19874853
364.684,-0.017092079
112.2362,-1.6571987
212.9596,-2.2789981
231.3517,-1.9923909
1521.5413,0.15549068
655.5511,0.4710685
104.8218,-1.3158677
374.0649,0.29083607
520.7384,0.39627546
523.2087,0.11919263
455.4923,0.5215884
419.8863,0.32962236
145.2794,-1.996787
353.7805,-0.07438837
687.1663,0.73390055
411.768,0.22721174
357.5283,0.014644797
299.6816,-0.3576002
568.2496,0.08778405
632.2888,0.42332536
409.2545,0.26703116
659.9614,0.60984755
665.13,0.37760693
572.9499,0.018694833
1148.5756,-0.33871198
415.4752,0.38098723
228.4112,-2.3689172
226.5183,-1.6522958
74.8412,-0.16886728
277.6446,-0.092464864
642.8429,0.49703023
242.3671,-1.2164261
622.0571,0.42154127
249.998,-1.4078057
207.4008,-1.7207038
820.7752,0.7100691
119.1198,-1.1284281
260.8671,-0.1400745
221.6666,-2.0823908
236.7542,-1.223461
534.0453,0.28583843
162.026,-2.1252651
457.0057,0.55047256
748.0649,0.6540766
222.394,-2.0978048
231.8807,-1.2575318
346.5084,0.1363839
281.2792,-0.24614456
401.1771,0.11512804
943.2756,0.5881604
581.9114,0.010764646
1954.2716,-0.34278905
427.767,0.6222637
184.6624,-2.252985
364.7716,0.15510598
357.216,0.0021776918
179.9886,-2.1510267
337.1094,-0.13572545
350.5449,0.18043627
372.7572,-0.09813885
152.6132,-2.3802676
560.3134,0.30053368
423.5773,0.2476558
362.1065,0.124094956
431.0581,0.69560635
597.1756,0.2190736
394.4367,-0.06208039
299.0036,-0.52252316
277.8175,-0.2807878
316.4588,0.18009342
304.6993,-0.38338026
181.052,-2.2444155
397.5399,0.029602494
316.7304,0.1382204
87.8022,-0.8591232
403.4073,0.0394105
135.1451,-2.1431403
533.0747,0.2266595
151.0437,-1.9513525
393.922,0.06544471
200.2683,-2.3743036
292.8752,-0.27539164
133.9816,-2.3103447
490.6347,0.5635924
120.1279,-1.176256
345.1779,0.21825056
665.4509,0.5313458
135.3599,-2.2169597
524.441,0.24811928
298.2247,0.027085654
200.4677,-1.9475923
476.5866,0.4589233
389.768,0.24311443
135.7106,-1.4853816
220.2949,-1.4445096
474.8816,0.62485176
268.848,-0.63517946
733.436,0.33841258
282.569,-0.116352476
551.3785,0.26590347
409.9835,-0.14552327
726.468,0.82049495
547.5929,0.2143242
231.2271,-0.4868444
567.2806,0.07925572
571.2636,0.029233968
182.6687,-1.9221035
356.6656,-0.023097828
169.0481,-1.8732586
151.4289,-2.1897101
604.6088,0.2816195
127.3213,-2.1292312
152.0208,-1.870369
535.5036,-0.07367046
365.0407,0.1923599
231.6311,-1.8822601
404.6886,0.15761341
1525.2405,0.11659127
385.0694,-0.10185703
212.0313,-1.8942488
151.8755,-2.1262605
167.869,-2.1921375
282.0348,0.053269908
860.9669,0.3144413
325.8901,-0.5517142
421.5951,0.38079315
583.7112,0.12832735
559.329,0.040942226
589.8955,0.25499183
507.437,0.2501458
570.7763,-0.00648195
335.1264,-0.0488123
472.9692,0.49469736
100.637,-0.76403487
859.7926,0.43849242
483.4656,0.35332718
565.3979,0.18969555
867.7972,0.7189257
201.3066,-1.6799722
398.0284,0.07557051
187.9919,-2.2307506
234.5868,-1.1318436
576.2352,0.022330154
