public_building_id,SHAP_Projected_Area,SHAP_Height,SHAP_Plot_Ratio,SHAP_Effective_Age,SHAP_Mean_Age_Score,SHAP_Pop_Density,SHAP_Price,SHAP_Fee,SHAP_EUI,base_value
SHB_a15a531649c95ee5,-0.17063928,-0.14397746,-0.06998594,-0.10228161,-0.006187996,-0.122413725,-0.097684786,-0.026087554,-0.30110592,-3.9755917
SHB_bcba5ab793e4ef18,-0.13208838,0.32984132,-0.16153577,-0.05767774,-0.43952414,-1.4626794,-0.20497367,-0.1710769,0.020640759,-3.9755917
SHB_0b4baca4cc2ffd39,-1.7656524,-0.14974451,-0.2943017,-0.4211003,-0.8147789,0.0052415607,-0.022127744,-0.014076972,-0.13989772,-3.9755917
SHB_14e00a080dd2e5a0,0.25590116,0.2534137,0.14244838,-0.10207432,0.3595564,-0.20619415,0.051907577,-0.16826089,-0.0917807,-3.9755917
SHB_706ef526f507e31e,-1.7554822,-0.2058377,0.88664556,-0.058184907,-0.72587794,-0.06520817,-0.084949315,-0.19679917,0.14397413,-3.9755917
SHB_4ec21a373dd2cf7b,-2.1750445,-0.15134273,-0.058405574,-0.03361474,-0.12366829,0.05701376,-0.07998364,0.27053347,0.17801811,-3.9755917
SHB_be62818bccaeb231,0.056681704,0.37614965,0.03576833,-0.43205488,0.0005297514,0.29415745,-0.24296841,0.17417964,0.029918265,-3.9755917
SHB_8939e50b6b10f03e,-0.26632264,-0.30051237,-0.0667036,-0.36084497,-0.13128778,-0.37623608,0.11204724,-0.124021955,0.2621275,-3.9755917
SHB_e4820e040a7ab777,0.7935573,0.5408052,0.15886167,-0.19378881,-0.076376826,0.50584084,-0.07186546,-0.055602245,-0.00829716,-3.9755917
SHB_56ea61610e4fa35e,-1.8297362,-0.31712827,-0.23558328,-0.16434757,-0.94283223,-0.36436015,-0.22027336,-0.111497946,-0.22671759,-3.9755917
SHB_5611662c5e8781a2,0.37650833,0.33875647,0.082489625,-0.29299635,0.6352915,-0.2444062,-0.052507907,-0.09857616,0.08089857,-3.9755917
SHB_233b9d076e397da1,0.06742074,0.3549712,0.12868501,-0.032718003,0.05433105,-0.12976547,-0.28337723,-0.16382141,-0.19772974,-3.9755917
SHB_c3f9bd6c9bc84702,0.15543284,-0.12315548,-0.025136353,0.19764376,0.07929021,0.18936005,-0.08188708,-0.044285398,0.100901365,-3.9755917
SHB_c1e25fcb74516f1b,-1.9364146,-0.27129838,-0.16611798,-0.15545766,-1.1532767,-0.08438146,-0.30058622,-0.18687163,-0.14070025,-3.9755917
SHB_750b22f43565338f,-0.025537292,-0.091717444,-0.021469936,0.29544306,-0.40116996,0.24387418,-0.5863664,-0.061110735,0.108314306,-3.9755917
SHB_1904a13dfa9b24cb,0.023228966,0.37495947,-0.2606975,-0.07842177,0.11716784,-0.1789994,0.28432137,-0.08606044,0.23197721,-3.9755917
SHB_9dd5701e5a72c7a8,0.15101077,-0.0027966944,-0.076872855,-0.13660848,-0.8427087,-0.1335952,-0.68822813,-0.020844012,-0.013700268,-3.9755917
SHB_be00dd915b070b8a,-1.0670661,-0.15201275,0.09074509,-0.040859748,0.009635227,0.41095072,-0.13303974,0.12768222,0.15534775,-3.9755917
SHB_57a92be8f76358a1,0.35237014,-0.2046271,-0.022963133,0.23640382,0.22835658,0.0014639655,0.06826623,-0.015367683,0.045483932,-3.9755917
SHB_ca5a425a57401cde,0.19719428,-0.13052931,0.055893376,-0.14941657,-0.04761219,0.071254924,-0.5894816,-0.16584611,0.0014522788,-3.9755917
SHB_79057095cd095695,-0.15593533,-0.131307,-0.18763192,-0.018936573,-0.12870112,0.06861676,0.053331733,0.08177354,0.072104104,-3.9755917
SHB_a698dbdc4a877ec2,0.48762807,-0.19767246,0.10578755,-0.13321231,-0.26736298,-0.12897494,-0.3136799,0.0451937,0.07844019,-3.9755917
SHB_f2ab4af6c4119447,0.7048972,0.2144732,-0.01995052,-0.05144074,-0.11705072,0.17302567,-0.062145513,-0.025134422,-0.07804866,-3.9755917
SHB_b7d44d0095be6ddf,0.17522861,-0.16496405,-0.0055367323,-0.12686126,-0.46327636,-0.1492661,-0.6113272,-0.2075129,0.05265308,-3.9755917
SHB_4970c41cf732e147,-0.14457071,-0.0858227,0.028881414,0.09232122,-0.17437929,0.65683633,-0.44071075,0.030199826,0.06677925,-3.9755917
SHB_54d024023f921905,-2.2023427,-0.29057518,-0.2012934,-0.18169689,-1.0540162,-0.21525156,0.028401198,-0.15595461,-0.18101019,-3.9755917
SHB_10015e0c77f287c6,0.567415,0.13530032,0.08090914,-0.039462514,-1.1021518,-1.1872152,-0.07054151,-0.07646013,0.15656196,-3.9755917
SHB_d0678cfbd2dc28e0,0.62390924,-0.30333486,-0.17466618,-0.27858457,0.049063616,0.061355297,-0.16091238,-0.03313707,-0.32586196,-3.9755917
SHB_15ea43a388061b3e,0.6065666,-0.014275347,-0.66311926,0.40616655,-0.51782715,-0.76052094,-0.22564383,0.15025112,-0.20699123,-3.9755917
SHB_c3c70f4a91fd3c3b,-1.1661642,-0.061589215,-0.16322999,0.038817532,-0.46413594,0.04438608,0.09446734,0.2657948,-0.10403515,-3.9755917
SHB_ea305347d3dcf9a7,0.2052266,-0.058046248,-0.16832583,-0.10473918,-0.43104494,0.14105572,-0.30596492,-0.16041711,0.15740176,-3.9755917
