city,building_type,count,percentage
Beijing,Residential_1,76088,25.372054326767568
Beijing,Residential_3,68216,22.74708308740901
Beijing,Commercial,64308,21.4439342556746
Beijing,Office,30291,10.100737272790933
Beijing,School,18545,6.183954729916736
Beijing,Administration,16473,5.493032421996139
Beijing,Industry,9989,3.33089909933342
Beijing,Hotel,5825,1.9423853492458878
Beijing,Transport,3986,1.3291584552951259
Beijing,Hospital,3748,1.2497957577637058
Beijing,Residential_2,1896,0.6322339265528246
Beijing,Residential,519,0.1730640336924662
Beijing,Heritage,5,0.001667283561584453
Shanghai,Residential_3,120743,37.92108188916038
Shanghai,Residential_1,95712,30.059735055243937
Shanghai,Commercial,42908,13.475876710866
Shanghai,Office,27314,8.578355935503728
Shanghai,School,10263,3.2232432805914457
Shanghai,Industry,6792,2.1331256320546723
Shanghai,Administration,6298,1.977977801925843
Shanghai,Residential_2,2909,0.9136134369327211
Shanghai,Hotel,1946,0.6111693875115419
Shanghai,Hospital,1686,0.529512634812158
Shanghai,Transport,1342,0.4214744697022041
Shanghai,Residential,491,0.15420563682845173
Shanghai,Heritage,2,0.000628128866918337
Guangzhou,Commercial,72886,37.076262564603425
Guangzhou,Residential_2,34952,17.779676881129696
Guangzhou,Residential_1,32155,16.356875432385138
Guangzhou,Office,19989,10.168172384324258
Guangzhou,Administration,9438,4.80100109876694
Guangzhou,School,8654,4.402189394864282
Guangzhou,Industry,6848,3.483498148374232
Guangzhou,Residential_3,6662,3.3888821063769177
Guangzhou,Hotel,2325,1.1827005249664266
Guangzhou,Hospital,1823,0.9273389492532454
Guangzhou,Transport,852,0.4334025149554389
Wuhan,Residential_3,39929,31.231130230739147
Wuhan,Residential_1,28537,22.320688306609306
Wuhan,Commercial,25331,19.813062182244817
Wuhan,Office,9839,7.695737192021901
Wuhan,School,9220,7.211576065701994
Wuhan,Industry,6201,4.850215095815408
Wuhan,Administration,3660,2.8627297614391867
Wuhan,Residential_2,2446,1.913179507235041
Wuhan,Hotel,1103,0.8627297614391867
Wuhan,Hospital,1040,0.8134532655455612
Wuhan,Transport,448,0.3504106374657802
Wuhan,Residential,96,0.07508799374266718
