city,building_type,fire_count,percentage
Beijing,Residential_3,50,27.472527472527474
Beijing,Residential_1,48,26.373626373626376
Beijing,Office,24,13.186813186813188
Beijing,Commercial,19,10.43956043956044
Beijing,Administration,11,6.043956043956044
Beijing,School,8,4.395604395604396
Beijing,Industry,7,3.8461538461538463
Beijing,Hotel,5,2.7472527472527473
Beijing,Transport,4,2.197802197802198
Beijing,Hospital,4,2.197802197802198
Beijing,Residential,1,0.5494505494505495
Beijing,Residential_2,1,0.5494505494505495
Shanghai,Residential_3,141,35.96938775510204
Shanghai,Residential_1,93,23.72448979591837
Shanghai,Office,49,12.5
Shanghai,Commercial,39,9.948979591836734
Shanghai,Administration,19,4.846938775510204
Shanghai,School,16,4.081632653061225
Shanghai,Industry,10,2.5510204081632653
Shanghai,Hotel,9,2.295918367346939
Shanghai,Residential_2,4,1.0204081632653061
Shanghai,Transport,4,1.0204081632653061
Shanghai,Hospital,4,1.0204081632653061
Shanghai,Residential,3,0.7653061224489796
Shanghai,Heritage,1,0.25510204081632654
Guangzhou,Residential_2,31,22.463768115942027
Guangzhou,Commercial,25,18.115942028985508
Guangzhou,Office,20,14.492753623188406
Guangzhou,Residential_1,17,12.318840579710146
Guangzhou,School,16,11.594202898550725
Guangzhou,Residential_3,14,10.144927536231885
Guangzhou,Administration,5,3.6231884057971016
Guangzhou,Hotel,4,2.898550724637681
Guangzhou,Industry,2,1.4492753623188406
Guangzhou,Hospital,2,1.4492753623188406
Guangzhou,Transport,2,1.4492753623188406
Wuhan,Residential_3,68,30.08849557522124
Wuhan,Commercial,46,20.353982300884958
Wuhan,Residential_1,40,17.699115044247787
Wuhan,Office,23,10.176991150442479
Wuhan,School,16,7.079646017699115
Wuhan,Hospital,14,6.1946902654867255
Wuhan,Administration,6,2.6548672566371683
Wuhan,Industry,5,2.2123893805309733
Wuhan,Residential_2,4,1.7699115044247788
Wuhan,Hotel,3,1.3274336283185841
Wuhan,Transport,1,0.4424778761061947
