subset,source_category,display_category,count,display_denominator,percentage,display_percentage,excluded_category
all,Residential,Residential,511351,936101,54.625622662511844,54.6,Transport
all,Commercial,Commercial,205433,936101,21.945602023713253,21.9,Transport
all,Office,Office,87433,936101,9.340124623304536,9.3,Transport
all,School,Other,46682,936101,4.986855050897286,5.0,Transport
all,Administration/Public,Administration,35869,936101,3.831744651485256,3.8,Transport
all,Industry,Industry,29830,936101,3.1866219563914577,3.2,Transport
all,Hospital,Hospital,8297,936101,0.886335982976196,0.9,Transport
all,Hotel,Hotel,11199,936101,1.196345266162519,1.2,Transport
all,Heritage,Heritage,7,936101,0.0007477825576513645,0.0,Transport
fire,Residential,Residential,515,927,55.55555555555556,55.6,Transport
fire,Commercial,Commercial,129,927,13.915857605177994,13.9,Transport
fire,Office,Office,116,927,12.513484358144552,12.5,Transport
fire,School,Other,56,927,6.0409924487594395,6.0,Transport
fire,Administration/Public,Administration,41,927,4.4228694714131604,4.4,Transport
fire,Industry,Industry,24,927,2.5889967637540456,2.6,Transport
fire,Hospital,Hospital,24,927,2.5889967637540456,2.6,Transport
fire,Hotel,Hotel,21,927,2.26537216828479,2.3,Transport
fire,Heritage,Heritage,1,927,0.10787486515641855,0.1,Transport
