city,age_bin,fire_count,exposure_building_years,normalized_fire_incidence_per_1000_building_years,observation_start_year,observation_end_year,scope
Beijing,0-10y,5,321024,0.0155751594896,2016,2025,residential_only
Beijing,10-20y,26,627857,0.0414107033927,2016,2025,residential_only
Beijing,20-30y,39,366967,0.106276586178,2016,2025,residential_only
Beijing,30-40y,19,131300,0.14470677837,2016,2025,residential_only
Beijing,40-50y,1,43200,0.0231481481481,2016,2025,residential_only
Beijing,50-60y,1,18200,0.0549450549451,2016,2025,residential_only
Beijing,60-70y,1,30419,0.0328741904731,2016,2025,residential_only
Beijing,70y+,2,15776,0.12677484787,2016,2025,residential_only
Shanghai,0-10y,21,438509,0.047889553008,2016,2025,residential_only
Shanghai,10-20y,101,1039097,0.0971997801938,2016,2025,residential_only
Shanghai,20-30y,69,591557,0.116641338028,2016,2025,residential_only
Shanghai,30-40y,26,189415,0.137264736161,2016,2025,residential_only
Shanghai,40-50y,4,31976,0.125093820365,2016,2025,residential_only
Shanghai,50-60y,0,9115,0.0,2016,2025,residential_only
Shanghai,60-70y,5,26142,0.191263101522,2016,2025,residential_only
Shanghai,70y+,9,43000,0.209302325581,2016,2025,residential_only
Guangzhou,0-10y,9,145168,0.0619971343547,2016,2025,residential_only
Guangzhou,10-20y,17,338788,0.0501788729235,2016,2025,residential_only
Guangzhou,20-30y,19,210455,0.0902805825473,2016,2025,residential_only
Guangzhou,30-40y,5,43489,0.114971602014,2016,2025,residential_only
Guangzhou,40-50y,1,5332,0.187546886722,2016,2025,residential_only
Guangzhou,50-60y,1,4563,0.219154065308,2016,2025,residential_only
Guangzhou,60-70y,1,13598,0.0735402265039,2016,2025,residential_only
Guangzhou,70y+,7,20201,0.346517499134,2016,2025,residential_only
Wuhan,0-10y,26,215610,0.120588098882,2016,2025,residential_only
Wuhan,10-20y,49,335641,0.145989315966,2016,2025,residential_only
Wuhan,20-30y,27,162805,0.165842572403,2016,2025,residential_only
Wuhan,30-40y,5,27247,0.183506441076,2016,2025,residential_only
Wuhan,40-50y,0,2910,0.0,2016,2025,residential_only
Wuhan,50-60y,1,1603,0.623830318153,2016,2025,residential_only
Wuhan,60-70y,1,5781,0.172980453209,2016,2025,residential_only
Wuhan,70y+,2,5703,0.35069261792,2016,2025,residential_only
Aggregated_4_cities,0-10y,61,1120311,0.0544491663476,2016,2025,residential_only
Aggregated_4_cities,10-20y,193,2341383,0.0824299142857,2016,2025,residential_only
Aggregated_4_cities,20-30y,154,1331784,0.115634367135,2016,2025,residential_only
Aggregated_4_cities,30-40y,55,391451,0.140502898192,2016,2025,residential_only
Aggregated_4_cities,40-50y,6,83418,0.071926922247,2016,2025,residential_only
Aggregated_4_cities,50-60y,3,33481,0.0896030584511,2016,2025,residential_only
Aggregated_4_cities,60-70y,8,75940,0.105346326047,2016,2025,residential_only
Aggregated_4_cities,70y+,20,84680,0.236183278224,2016,2025,residential_only
