city,grid_row,grid_col,mean_building_age,building_count,fire_count,fire_metric,age_bin,fire_bin,bivariate_class
Shanghai,1,59,,0,0,0.0,0,0,A0-F0
Shanghai,2,59,,0,0,0.0,0,0,A0-F0
Shanghai,3,59,,0,0,0.0,0,0,A0-F0
Shanghai,4,59,,0,0,0.0,0,0,A0-F0
Shanghai,20,42,,0,0,0.0,0,0,A0-F0
Shanghai,20,48,,0,0,0.0,0,0,A0-F0
Shanghai,20,46,,0,0,0.0,0,0,A0-F0
Shanghai,20,47,,0,0,0.0,0,0,A0-F0
Shanghai,21,48,,0,0,0.0,0,0,A0-F0
Shanghai,21,46,,0,0,0.0,0,0,A0-F0
Shanghai,12,59,,0,0,0.0,0,0,A0-F0
Shanghai,13,59,,0,0,0.0,0,0,A0-F0
Shanghai,14,58,,0,0,0.0,0,0,A0-F0
Shanghai,14,59,,0,0,0.0,0,0,A0-F0
Shanghai,15,56,,0,0,0.0,0,0,A0-F0
Shanghai,15,57,,0,0,0.0,0,0,A0-F0
Shanghai,15,58,,0,0,0.0,0,0,A0-F0
Shanghai,15,59,11.0,12,0,0.0,1,1,A1-F1
Shanghai,16,55,,0,0,0.0,0,0,A0-F0
Shanghai,17,54,,0,0,0.0,0,0,A0-F0
Shanghai,16,56,,0,0,0.0,0,0,A0-F0
Shanghai,16,57,,0,0,0.0,0,0,A0-F0
Shanghai,16,58,,0,0,0.0,0,0,A0-F0
Shanghai,16,59,,0,0,0.0,0,0,A0-F0
Shanghai,17,56,,0,0,0.0,0,0,A0-F0
Shanghai,17,57,,0,0,0.0,0,0,A0-F0
Shanghai,17,58,,0,0,0.0,0,0,A0-F0
Shanghai,17,59,,0,0,0.0,0,0,A0-F0
Shanghai,18,58,,0,0,0.0,0,0,A0-F0
Shanghai,18,56,,0,0,0.0,0,0,A0-F0
Shanghai,17,55,,0,0,0.0,0,0,A0-F0
Shanghai,18,53,,0,0,0.0,0,0,A0-F0
Shanghai,18,54,,0,0,0.0,0,0,A0-F0
Shanghai,18,55,,0,0,0.0,0,0,A0-F0
Shanghai,19,53,,0,0,0.0,0,0,A0-F0
Shanghai,19,55,,0,0,0.0,0,0,A0-F0
Shanghai,19,54,,0,0,0.0,0,0,A0-F0
Shanghai,20,54,,0,0,0.0,0,0,A0-F0
Shanghai,20,53,,0,0,0.0,0,0,A0-F0
Shanghai,20,55,,0,0,0.0,0,0,A0-F0
Shanghai,19,52,,0,0,0.0,0,0,A0-F0
Shanghai,19,51,,0,0,0.0,0,0,A0-F0
Shanghai,19,50,,0,0,0.0,0,0,A0-F0
Shanghai,20,49,,0,0,0.0,0,0,A0-F0
Shanghai,20,52,,0,0,0.0,0,0,A0-F0
Shanghai,20,36,,0,0,0.0,0,0,A0-F0
Shanghai,20,37,,0,0,0.0,0,0,A0-F0
Shanghai,20,32,,0,0,0.0,0,0,A0-F0
Shanghai,20,33,,0,0,0.0,0,0,A0-F0
Shanghai,20,34,,0,0,0.0,0,0,A0-F0
Shanghai,20,35,,0,0,0.0,0,0,A0-F0
Shanghai,21,40,,0,0,0.0,0,0,A0-F0
Shanghai,21,41,,0,0,0.0,0,0,A0-F0
Shanghai,21,39,,0,0,0.0,0,0,A0-F0
Shanghai,21,32,,0,0,0.0,0,0,A0-F0
Shanghai,21,34,,0,0,0.0,0,0,A0-F0
Shanghai,21,33,,0,0,0.0,0,0,A0-F0
Shanghai,21,35,,0,0,0.0,0,0,A0-F0
Shanghai,22,33,23.285714285714285,7,0,0.0,2,1,A2-F1
Shanghai,22,34,,0,0,0.0,0,0,A0-F0
Shanghai,22,32,,0,0,0.0,0,0,A0-F0
Shanghai,22,35,,0,0,0.0,0,0,A0-F0
Shanghai,23,32,10.142857142857142,7,0,0.0,1,1,A1-F1
Shanghai,23,34,,0,0,0.0,0,0,A0-F0
Shanghai,21,31,,0,0,0.0,0,0,A0-F0
Shanghai,21,30,,0,0,0.0,0,0,A0-F0
Shanghai,21,29,,0,0,0.0,0,0,A0-F0
Shanghai,22,29,,0,0,0.0,0,0,A0-F0
Shanghai,22,30,,0,0,0.0,0,0,A0-F0
Shanghai,22,31,,0,0,0.0,0,0,A0-F0
Shanghai,23,29,,0,0,0.0,0,0,A0-F0
Shanghai,23,30,,0,0,0.0,0,0,A0-F0
Shanghai,23,31,,0,0,0.0,0,0,A0-F0
Shanghai,24,29,15.333333333333334,9,0,0.0,1,1,A1-F1
Shanghai,21,38,,0,0,0.0,0,0,A0-F0
Shanghai,21,36,,0,0,0.0,0,0,A0-F0
Shanghai,21,37,,0,0,0.0,0,0,A0-F0
Shanghai,22,38,,0,0,0.0,0,0,A0-F0
Shanghai,22,36,,0,0,0.0,0,0,A0-F0
Shanghai,22,37,,0,0,0.0,0,0,A0-F0
Shanghai,23,36,,0,0,0.0,0,0,A0-F0
Shanghai,23,37,,0,0,0.0,0,0,A0-F0
Shanghai,23,38,,0,0,0.0,0,0,A0-F0
Shanghai,24,38,16.28048780487805,164,1,1.0,2,2,A2-F2
Shanghai,22,41,,0,0,0.0,0,0,A0-F0
Shanghai,22,40,,0,0,0.0,0,0,A0-F0
Shanghai,22,39,24.0,3,0,0.0,3,1,A3-F1
Shanghai,23,41,16.0,2,0,0.0,2,1,A2-F1
Shanghai,23,40,,0,0,0.0,0,0,A0-F0
Shanghai,23,39,,0,0,0.0,0,0,A0-F0
Shanghai,24,41,15.909090909090908,44,0,0.0,2,1,A2-F1
Shanghai,24,40,11.52,50,0,0.0,1,1,A1-F1
Shanghai,24,39,12.0531914893617,94,0,0.0,1,1,A1-F1
Shanghai,25,41,16.633333333333333,30,0,0.0,2,1,A2-F1
Shanghai,23,33,27.433962264150946,53,0,0.0,3,1,A3-F1
Shanghai,23,35,,0,0,0.0,0,0,A0-F0
Shanghai,24,34,27.8,10,0,0.0,3,1,A3-F1
Shanghai,24,32,12.63013698630137,73,0,0.0,1,1,A1-F1
Shanghai,24,33,21.976,125,0,0.0,2,1,A2-F1
Shanghai,24,35,,0,0,0.0,0,0,A0-F0
Shanghai,25,35,,0,0,0.0,0,0,A0-F0
Shanghai,25,32,10.043478260869565,23,0,0.0,1,1,A1-F1
Shanghai,25,33,15.428571428571429,7,0,0.0,1,1,A1-F1
Shanghai,25,34,,0,0,0.0,0,0,A0-F0
Shanghai,24,36,,0,0,0.0,0,0,A0-F0
Shanghai,24,37,,0,0,0.0,0,0,A0-F0
Shanghai,25,36,,0,0,0.0,0,0,A0-F0
Shanghai,25,38,15.9375,16,0,0.0,2,1,A2-F1
Shanghai,25,37,,0,0,0.0,0,0,A0-F0
Shanghai,26,36,,0,0,0.0,0,0,A0-F0
Shanghai,26,38,8.0,6,0,0.0,1,1,A1-F1
Shanghai,26,37,,0,0,0.0,0,0,A0-F0
Shanghai,27,35,17.714285714285715,14,0,0.0,2,1,A2-F1
Shanghai,27,37,,0,0,0.0,0,0,A0-F0
Shanghai,26,35,20.77777777777778,18,0,0.0,2,1,A2-F1
Shanghai,26,33,13.142857142857142,49,0,0.0,1,1,A1-F1
Shanghai,26,32,,0,0,0.0,0,0,A0-F0
Shanghai,26,34,10.8125,64,0,0.0,1,1,A1-F1
Shanghai,27,33,14.934782608695652,92,0,0.0,1,1,A1-F1
Shanghai,27,32,,0,0,0.0,0,0,A0-F0
Shanghai,27,34,13.579831932773107,119,0,0.0,1,1,A1-F1
Shanghai,28,33,13.280898876404494,89,0,0.0,1,1,A1-F1
Shanghai,28,32,,0,0,0.0,0,0,A0-F0
Shanghai,28,34,12.920353982300885,113,0,0.0,1,1,A1-F1
Shanghai,27,36,,0,0,0.0,0,0,A0-F0
Shanghai,27,38,12.714285714285714,84,0,0.0,1,1,A1-F1
Shanghai,28,35,13.0,5,0,0.0,1,1,A1-F1
Shanghai,28,36,,0,0,0.0,0,0,A0-F0
Shanghai,28,37,,0,0,0.0,0,0,A0-F0
Shanghai,28,38,,0,0,0.0,0,0,A0-F0
Shanghai,29,35,7.333333333333333,9,0,0.0,1,1,A1-F1
Shanghai,29,36,,0,0,0.0,0,0,A0-F0
Shanghai,29,38,29.0,1,0,0.0,3,1,A3-F1
Shanghai,29,37,,0,0,0.0,0,0,A0-F0
Shanghai,27,31,,0,0,0.0,0,0,A0-F0
Shanghai,28,29,,0,0,0.0,0,0,A0-F0
Shanghai,28,30,,0,0,0.0,0,0,A0-F0
Shanghai,28,31,,0,0,0.0,0,0,A0-F0
Shanghai,29,31,15.64102564102564,39,0,0.0,1,1,A1-F1
Shanghai,29,30,19.5,40,0,0.0,2,1,A2-F1
Shanghai,29,29,10.35,60,0,0.0,1,1,A1-F1
Shanghai,30,31,15.88888888888889,45,0,0.0,2,1,A2-F1
Shanghai,30,30,15.721153846153848,104,0,0.0,1,1,A1-F1
Shanghai,30,29,14.691056910569106,123,1,1.0,1,2,A1-F2
Shanghai,18,57,,0,0,0.0,0,0,A0-F0
Shanghai,18,59,,0,0,0.0,0,0,A0-F0
Shanghai,19,57,,0,0,0.0,0,0,A0-F0
Shanghai,19,58,,0,0,0.0,0,0,A0-F0
Shanghai,19,56,,0,0,0.0,0,0,A0-F0
Shanghai,19,59,,0,0,0.0,0,0,A0-F0
Shanghai,20,57,,0,0,0.0,0,0,A0-F0
Shanghai,20,56,,0,0,0.0,0,0,A0-F0
Shanghai,20,58,,0,0,0.0,0,0,A0-F0
Shanghai,20,59,,0,0,0.0,0,0,A0-F0
Shanghai,20,50,,0,0,0.0,0,0,A0-F0
Shanghai,20,51,,0,0,0.0,0,0,A0-F0
