city,grid_row,grid_col,mean_building_age,building_count,fire_count,fire_metric,age_bin,fire_bin,bivariate_class
Guangzhou,2,24,,0,0,0.0,0,0,A0-F0
Guangzhou,2,25,,0,0,0.0,0,0,A0-F0
Guangzhou,3,24,10.0,1,0,0.0,1,1,A1-F1
Guangzhou,3,20,,0,0,0.0,0,0,A0-F0
Guangzhou,3,19,6.333333333333333,3,0,0.0,1,1,A1-F1
Guangzhou,3,18,,0,0,0.0,0,0,A0-F0
Guangzhou,4,18,15.363636363636363,11,0,0.0,1,1,A1-F1
Guangzhou,2,23,,0,0,0.0,0,0,A0-F0
Guangzhou,2,22,,0,0,0.0,0,0,A0-F0
Guangzhou,3,23,19.944444444444443,18,0,0.0,2,1,A2-F1
Guangzhou,3,22,17.106382978723403,47,0,0.0,2,1,A2-F1
Guangzhou,3,21,19.33333333333333,6,0,0.0,2,1,A2-F1
Guangzhou,4,22,7.333333333333333,3,0,0.0,1,1,A1-F1
Guangzhou,3,25,,0,0,0.0,0,0,A0-F0
Guangzhou,4,24,72.0,2,0,0.0,3,1,A3-F1
Guangzhou,4,25,8.846153846153847,26,0,0.0,1,1,A1-F1
Guangzhou,4,26,4.333333333333333,6,0,0.0,1,1,A1-F1
Guangzhou,5,26,5.0,7,0,0.0,1,1,A1-F1
Guangzhou,5,27,,0,0,0.0,0,0,A0-F0
Guangzhou,5,25,12.0,1,0,0.0,1,1,A1-F1
Guangzhou,5,24,28.5,2,0,0.0,3,1,A3-F1
Guangzhou,4,19,23.166666666666668,12,0,0.0,2,1,A2-F1
Guangzhou,4,20,18.232558139534884,43,0,0.0,2,1,A2-F1
Guangzhou,5,20,15.4,5,0,0.0,1,1,A1-F1
Guangzhou,5,18,26.53153153153153,111,0,0.0,3,1,A3-F1
Guangzhou,5,19,20.242857142857144,70,0,0.0,2,1,A2-F1
Guangzhou,6,18,10.295454545454543,88,0,0.0,1,1,A1-F1
Guangzhou,6,20,7.0,17,0,0.0,1,1,A1-F1
Guangzhou,6,19,5.760869565217392,92,1,1.0,1,2,A1-F2
Guangzhou,7,18,24.50617283950617,81,0,0.0,3,1,A3-F1
Guangzhou,7,19,20.8019801980198,101,0,0.0,2,1,A2-F1
Guangzhou,4,23,10.0,3,0,0.0,1,1,A1-F1
Guangzhou,4,21,,0,0,0.0,0,0,A0-F0
Guangzhou,5,23,33.0,4,0,0.0,3,1,A3-F1
Guangzhou,5,22,13.0,2,0,0.0,1,1,A1-F1
Guangzhou,5,21,8.0,5,0,0.0,1,1,A1-F1
Guangzhou,6,23,10.285714285714286,14,0,0.0,1,1,A1-F1
Guangzhou,6,22,9.964285714285714,28,0,0.0,1,1,A1-F1
Guangzhou,6,21,17.941176470588236,17,0,0.0,2,1,A2-F1
Guangzhou,7,23,11.73469387755102,49,0,0.0,1,1,A1-F1
Guangzhou,7,22,18.440677966101696,59,0,0.0,2,1,A2-F1
Guangzhou,6,24,,0,0,0.0,0,0,A0-F0
Guangzhou,6,27,21.0,1,0,0.0,2,1,A2-F1
Guangzhou,6,25,10.0,3,0,0.0,1,1,A1-F1
Guangzhou,6,26,45.6,5,0,0.0,3,1,A3-F1
Guangzhou,7,25,13.391304347826088,23,0,0.0,1,1,A1-F1
Guangzhou,7,24,24.0,15,0,0.0,3,1,A3-F1
Guangzhou,7,26,9.944444444444445,18,0,0.0,1,1,A1-F1
Guangzhou,8,25,3.25,8,0,0.0,1,1,A1-F1
Guangzhou,8,24,34.285714285714285,35,0,0.0,3,1,A3-F1
Guangzhou,8,26,13.5,12,0,0.0,1,1,A1-F1
Guangzhou,7,20,27.38405797101449,138,0,0.0,3,1,A3-F1
Guangzhou,8,18,50.92198581560284,141,0,0.0,3,1,A3-F1
Guangzhou,8,20,31.16949152542373,236,0,0.0,3,1,A3-F1
Guangzhou,8,19,31.63636363636364,143,0,0.0,3,1,A3-F1
Guangzhou,9,18,65.54666666666667,150,0,0.0,3,1,A3-F1
Guangzhou,9,20,29.48275862068965,116,0,0.0,3,1,A3-F1
Guangzhou,9,19,35.925170068027214,147,0,0.0,3,1,A3-F1
Guangzhou,10,18,37.15315315315316,111,0,0.0,3,1,A3-F1
Guangzhou,10,20,11.458333333333334,24,0,0.0,1,1,A1-F1
Guangzhou,10,19,31.142857142857142,21,0,0.0,3,1,A3-F1
Guangzhou,7,21,23.875706214689263,177,0,0.0,2,1,A2-F1
Guangzhou,8,22,26.01680672268908,119,1,1.0,3,2,A3-F2
Guangzhou,8,23,49.84,50,0,0.0,3,1,A3-F1
Guangzhou,8,21,41.39912280701754,228,0,0.0,3,1,A3-F1
Guangzhou,9,22,8.75925925925926,54,0,0.0,1,1,A1-F1
Guangzhou,9,23,14.0,14,1,1.0,1,2,A1-F2
Guangzhou,9,21,17.49367088607595,79,0,0.0,2,1,A2-F1
Guangzhou,10,22,9.133333333333333,15,0,0.0,1,1,A1-F1
Guangzhou,10,23,9.833333333333334,6,0,0.0,1,1,A1-F1
Guangzhou,10,21,13.863636363636363,22,1,1.0,1,2,A1-F2
Guangzhou,9,24,12.909090909090908,11,0,0.0,1,1,A1-F1
Guangzhou,9,26,4.6,45,0,0.0,1,1,A1-F1
Guangzhou,9,25,13.076923076923077,26,0,0.0,1,1,A1-F1
Guangzhou,10,24,30.05084745762712,59,1,1.0,3,2,A3-F2
Guangzhou,10,26,10.0,2,0,0.0,1,1,A1-F1
Guangzhou,10,25,22.02777777777778,36,0,0.0,2,1,A2-F1
Guangzhou,11,24,22.636986301369863,146,0,0.0,2,1,A2-F1
Guangzhou,11,26,10.77777777777778,36,0,0.0,1,1,A1-F1
Guangzhou,11,25,25.28099173553719,121,0,0.0,3,1,A3-F1
Guangzhou,12,24,24.185185185185187,189,1,1.0,3,2,A3-F2
Guangzhou,2,7,29.181818181818183,11,0,0.0,3,1,A3-F1
Guangzhou,3,6,8.4,5,0,0.0,1,1,A1-F1
Guangzhou,3,7,15.074074074074074,27,0,0.0,1,1,A1-F1
Guangzhou,4,5,0.0,3,1,2.8072750395428274,1,3,A1-F3
Guangzhou,2,8,22.625,24,0,0.0,2,1,A2-F1
Guangzhou,2,10,,0,0,0.0,0,0,A0-F0
Guangzhou,2,9,6.0,2,0,0.0,1,1,A1-F1
Guangzhou,3,8,15.33846153846154,65,0,0.0,1,1,A1-F1
Guangzhou,3,10,15.333333333333334,6,0,0.0,1,1,A1-F1
Guangzhou,3,9,24.55555555555556,9,0,0.0,3,1,A3-F1
Guangzhou,4,8,18.95833333333333,24,0,0.0,2,1,A2-F1
Guangzhou,5,4,20.5,16,0,0.0,2,1,A2-F1
Guangzhou,4,6,20.0,2,0,0.0,2,1,A2-F1
Guangzhou,4,7,30.83333333333333,6,0,0.0,3,1,A3-F1
Guangzhou,5,6,8.333333333333334,27,0,0.0,1,1,A1-F1
Guangzhou,5,5,19.407894736842103,76,0,0.0,2,1,A2-F1
Guangzhou,5,7,7.428571428571429,7,2,2.0,1,3,A1-F3
Guangzhou,6,6,18.23076923076923,26,0,0.0,2,1,A2-F1
Guangzhou,6,5,15.962962962962964,27,0,0.0,2,1,A2-F1
Guangzhou,6,7,14.333333333333334,36,0,0.0,1,1,A1-F1
Guangzhou,7,6,18.428571428571427,14,0,0.0,2,1,A2-F1
Guangzhou,7,7,8.2,15,0,0.0,1,1,A1-F1
Guangzhou,4,10,17.8,25,0,0.0,2,1,A2-F1
Guangzhou,4,9,17.718446601941746,206,0,0.0,2,1,A2-F1
Guangzhou,5,8,19.875,8,0,0.0,2,1,A2-F1
Guangzhou,5,10,17.90566037735849,53,1,1.0,2,2,A2-F2
Guangzhou,5,9,29.0,31,0,0.0,3,1,A3-F1
Guangzhou,6,9,15.25,48,0,0.0,1,1,A1-F1
Guangzhou,6,8,18.77142857142857,35,0,0.0,2,1,A2-F1
Guangzhou,6,10,24.82710280373832,214,0,0.0,3,1,A3-F1
Guangzhou,7,9,13.907142857142857,140,0,0.0,1,1,A1-F1
Guangzhou,7,8,9.91891891891892,37,0,0.0,1,1,A1-F1
Guangzhou,6,4,18.36,25,0,0.0,2,1,A2-F1
Guangzhou,7,4,,0,0,0.0,0,0,A0-F0
Guangzhou,7,5,,0,0,0.0,0,0,A0-F0
Guangzhou,8,7,,0,0,0.0,0,0,A0-F0
Guangzhou,9,7,1.9375,32,0,0.0,1,1,A1-F1
Guangzhou,10,7,15.65,60,0,0.0,1,1,A1-F1
Guangzhou,2,12,,0,0,0.0,0,0,A0-F0
Guangzhou,2,11,,0,0,0.0,0,0,A0-F0
Guangzhou,2,13,,0,0,0.0,0,0,A0-F0
Guangzhou,3,13,12.0,3,0,0.0,1,1,A1-F1
Guangzhou,3,12,33.375,8,0,0.0,3,1,A3-F1
Guangzhou,3,15,,0,0,0.0,0,0,A0-F0
Guangzhou,3,17,,0,0,0.0,0,0,A0-F0
Guangzhou,3,16,,0,0,0.0,0,0,A0-F0
Guangzhou,4,14,18.0,1,0,0.0,2,1,A2-F1
Guangzhou,3,11,25.73333333333333,15,0,0.0,3,1,A3-F1
Guangzhou,3,14,,0,0,0.0,0,0,A0-F0
Guangzhou,4,12,14.521739130434783,69,0,0.0,1,1,A1-F1
Guangzhou,4,11,17.294117647058822,34,0,0.0,2,1,A2-F1
Guangzhou,4,13,36.4,10,0,0.0,3,1,A3-F1
Guangzhou,5,12,24.17910447761194,67,0,0.0,3,1,A3-F1
Guangzhou,5,11,3.724137931034482,29,0,0.0,1,1,A1-F1
Guangzhou,5,13,22.620689655172413,116,0,0.0,2,1,A2-F1
Guangzhou,6,12,1.375,8,0,0.0,1,1,A1-F1
Guangzhou,6,11,23.16304347826087,92,1,1.0,2,2,A2-F2
Guangzhou,4,15,6.0,7,0,0.0,1,1,A1-F1
Guangzhou,4,17,20.894736842105264,38,0,0.0,2,1,A2-F1
Guangzhou,4,16,26.153846153846157,13,0,0.0,3,1,A3-F1
Guangzhou,5,14,25.83606557377049,61,0,0.0,3,1,A3-F1
Guangzhou,5,16,15.63803680981595,163,1,1.0,1,2,A1-F2
Guangzhou,5,15,26.065934065934066,91,0,0.0,3,1,A3-F1
Guangzhou,5,17,24.191304347826087,115,1,1.0,3,2,A3-F2
Guangzhou,6,14,41.90967741935484,155,0,0.0,3,1,A3-F1
Guangzhou,6,17,20.92233009708738,103,0,0.0,2,1,A2-F1
Guangzhou,6,15,27.517241379310345,145,0,0.0,3,1,A3-F1
Guangzhou,6,13,17.30952380952381,42,0,0.0,2,1,A2-F1
Guangzhou,7,11,32.36931818181818,176,0,0.0,3,1,A3-F1
Guangzhou,7,12,21.59090909090909,44,0,0.0,2,1,A2-F1
Guangzhou,7,13,22.338461538461537,130,0,0.0,2,1,A2-F1
Guangzhou,8,13,35.553763440860216,186,0,0.0,3,1,A3-F1
Guangzhou,8,12,24.114942528735632,87,0,0.0,3,1,A3-F1
Guangzhou,8,11,27.76363636363636,55,0,0.0,3,1,A3-F1
Guangzhou,9,11,20.36842105263158,57,0,0.0,2,1,A2-F1
Guangzhou,9,13,28.91216216216216,148,1,1.0,3,2,A3-F2
Guangzhou,9,12,31.34375,96,0,0.0,3,1,A3-F1
Guangzhou,6,16,6.982832618025751,233,0,0.0,1,1,A1-F1
Guangzhou,7,14,28.68243243243243,148,0,0.0,3,1,A3-F1
Guangzhou,7,16,23.508474576271187,118,0,0.0,2,1,A2-F1
Guangzhou,7,15,23.171717171717173,99,1,1.0,2,2,A2-F2
Guangzhou,7,17,19.32530120481928,83,0,0.0,2,1,A2-F1
Guangzhou,8,17,72.84444444444445,135,0,0.0,3,1,A3-F1
Guangzhou,8,14,26.61061946902655,113,0,0.0,3,1,A3-F1
Guangzhou,8,15,33.891891891891895,222,0,0.0,3,1,A3-F1
Guangzhou,8,16,50.95762711864407,118,1,1.0,3,2,A3-F2
Guangzhou,9,15,30.439655172413797,116,0,0.0,3,1,A3-F1
Guangzhou,7,10,18.22222222222222,72,0,0.0,2,1,A2-F1
Guangzhou,8,9,21.986206896551725,145,0,0.0,2,1,A2-F1
Guangzhou,8,8,25.42105263157895,19,0,0.0,3,1,A3-F1
Guangzhou,8,10,18.720338983050848,118,3,3.0,2,3,A2-F3
Guangzhou,9,8,17.837209302325583,43,0,0.0,2,1,A2-F1
Guangzhou,9,10,29.432835820895523,67,0,0.0,3,1,A3-F1
Guangzhou,9,9,18.53271028037383,107,1,1.0,2,2,A2-F2
Guangzhou,10,10,18.24390243902439,41,1,1.0,2,2,A2-F2
Guangzhou,10,8,28.11764705882353,136,0,0.0,3,1,A3-F1
Guangzhou,10,9,43.27692307692308,65,0,0.0,3,1,A3-F1
Guangzhou,9,16,38.58297872340425,235,2,2.0,3,3,A3-F3
Guangzhou,9,17,88.74842767295597,159,0,0.0,3,1,A3-F1
