city,height_bin,building_count,fire_count,avg_height,valid_pop_building_count,total_pop,fire_count_pop_valid,Fire_per_1000_buildings,Per_Meter,Per_Person
Beijing,0-10m,41579,6,8.477644965006373,41115,895451.2745654407,6,0.1443036148055508,0.0170216629029878,0.0067005320897128
Beijing,10-20m,45267,28,15.936399584686416,45035,3821183.388538152,28,0.6185521461550356,0.0388137949772176,0.007327572940882
Beijing,20-30m,23011,20,23.22237190908696,22949,2256690.780814739,20,0.8691495371778715,0.0374272507812938,0.008862534543957
Beijing,30-40m,16673,14,33.20194326156061,16640,1855038.642552084,14,0.8396809212499251,0.0252901137332543,0.0075470125952413
Beijing,40-60m,8538,9,48.503982197235885,8524,1155965.0945370437,9,1.0541110330288124,0.0217324637128223,0.0077857022175954
Beijing,60-80m,5128,17,67.44071762870514,5120,780465.5104022946,17,3.3151326053042123,0.049156247469899,0.0217818721947588
Beijing,80m+,1590,4,94.90440251572328,1590,262364.3435746838,4,2.5157232704402515,0.026507972272661,0.0152459741499186
Shanghai,0-10m,67670,28,8.30514260381262,66901,2036532.4028212568,28,0.4137727205556376,0.0498212662074806,0.0137488605441342
Shanghai,10-20m,106973,114,16.499967281463547,106343,8510640.660985326,113,1.0656894730446,0.0645873688635625,0.0132774963132936
Shanghai,20-30m,15355,25,22.18345815695213,15289,1296239.531562008,25,1.62813415825464,0.0733940644752177,0.0192865588429279
Shanghai,30-40m,14795,28,33.02196688070294,14655,1264832.3728572645,28,1.8925312605610003,0.0573112821352546,0.0221373208030308
Shanghai,40-60m,7679,13,47.6312019794244,7630,950037.1863417797,13,1.692928766766506,0.0355424321959755,0.0136836748991456
Shanghai,60-80m,3200,17,67.30125,3185,611077.5317445846,17,5.3125,0.0789361267435597,0.027819710457143
Shanghai,80m+,1276,6,89.92319749216301,1274,273635.0851940475,6,4.702194357366771,0.0522912272751041,0.0219270127430666
Guangzhou,0-10m,29473,10,8.552675329963018,28184,1161087.3860159756,10,0.3392935907440708,0.0396710476726979,0.0086126161738031
Guangzhou,10-20m,24911,19,15.226606719922923,24441,3184585.711873552,19,0.7627152663481996,0.0500909546281405,0.0059662391654774
Guangzhou,20-30m,7079,7,23.347365447097047,7039,1623632.5450425963,7,0.98884023167114,0.0423533967424187,0.0043113203300666
Guangzhou,30-40m,5186,8,32.3999228692634,5094,1236832.4954429662,8,1.5426147319706902,0.0476116791448942,0.0064681353614782
Guangzhou,40-60m,2549,5,48.21420164770498,2513,674374.3570144126,5,1.961553550411926,0.0406841445751761,0.0074142795436884
Guangzhou,60-80m,1108,2,68.56768953068593,1098,386577.7280430678,2,1.8050541516245489,0.0263251418267015,0.0051736037927595
Guangzhou,80m+,792,4,97.44570707070709,774,316504.8184990384,4,5.050505050505051,0.0518289127589826,0.0126380382421007
Wuhan,0-10m,13495,7,8.680622452760282,12910,387640.81011726585,6,0.5187106335679882,0.0597550044816253,0.0154782464678704
Wuhan,10-20m,31067,37,15.679949785946503,30806,2417897.407372004,36,1.1909743457688222,0.0759552397824806,0.0148889691887829
Wuhan,20-30m,9279,22,22.496389697165643,9211,976922.7248211134,22,2.3709451449509644,0.1053922507952324,0.0225196931559028
Wuhan,30-40m,5996,7,32.84106070713809,5957,500873.7632475053,7,1.1674449633088726,0.0355483330370972,0.0139755773083705
Wuhan,40-60m,4690,13,49.63752665245202,4667,501666.72410072456,12,2.771855010660981,0.0558419243986254,0.0239202630421838
Wuhan,60-80m,3184,5,64.79239949748744,3171,319360.31221214245,5,1.57035175879397,0.0242366661980911,0.0156562973193695
Wuhan,80m+,1573,13,90.7107438016529,1570,260258.67420962368,13,8.264462809917356,0.0911078717201166,0.0499503044018783
Aggregated_4_cities,0-10m,152217,51,8.433479834709658,149110,4480711.873519938,50,0.3350479906974911,0.0397283206059893,0.0111589411261834
Aggregated_4_cities,10-20m,208218,198,16.10275288399658,206625,17934307.168769035,196,0.9509264328732386,0.0590536562116841,0.0109287745634978
Aggregated_4_cities,20-30m,54724,74,22.82393465389957,54488,6153485.582240457,74,1.3522403333089688,0.0592465915195709,0.012025704620739
Aggregated_4_cities,30-40m,42650,57,32.991254396248536,42346,4857577.27409982,57,1.336459554513482,0.0405095101405253,0.0117342446210622
Aggregated_4_cities,40-60m,23456,40,48.41341234652115,23334,3282043.3619939606,39,1.7053206002728514,0.0352241355776978,0.0118828411749886
Aggregated_4_cities,60-80m,12620,41,66.83613312202853,12574,2097481.0824020896,41,3.248811410459588,0.0486086082288445,0.0195472561559629
Aggregated_4_cities,80m+,5231,27,92.81303766010323,5208,1112762.9214773937,27,5.161536991015102,0.0556121976086754,0.0242639285321914
