City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,EUI,186.0630269,-0.01562449895,a
Wuhan,EUI,115.8748305,0.1654138863,a
Shanghai,EUI,188.2998177,0.01423793659,a
Guangzhou,EUI,209.1166956,0.07494224608,a
Wuhan,EUI,195.953976,0.1331427097,a
Shanghai,EUI,112.5992859,0.13772282,a
Guangzhou,EUI,210.1468176,0.09304455668,a
Wuhan,EUI,195.953976,0.005391106941,a
Shanghai,EUI,191.0414887,0.1100341976,a
Wuhan,EUI,192.4179605,0.2205227911,a
Beijing,EUI,31.89,-0.5893432498,a
Guangzhou,EUI,210.7021049,0.0668926686,a
Beijing,EUI,107.67,-0.09303288907,a
Shanghai,EUI,187.2485478,0.1438787729,a
Wuhan,EUI,113.4711731,0.0412639603,a
Shanghai,EUI,106.9527713,-0.1176348776,a
Guangzhou,EUI,294.1702351,0.1276663244,a
Shanghai,EUI,189.724048,-0.1168254018,a
Shanghai,EUI,110.056914,0.03585400432,a
Shanghai,EUI,188.2998177,0.009445441887,a
Wuhan,EUI,112.2011206,0.1248548552,a
Shanghai,EUI,122.5042299,0.048921749,a
Shanghai,EUI,191.0414887,0.04095540196,a
Wuhan,EUI,195.953976,0.1332509369,a
Guangzhou,EUI,118.3235398,-0.01898072287,a
Shanghai,EUI,110.056914,0.05992841348,a
Beijing,EUI,107.67,-0.1080357954,a
Shanghai,EUI,106.0727756,-0.1485318094,a
Shanghai,EUI,189.724048,-0.0862307772,a
Shanghai,EUI,122.5042299,0.0478342399,a
Shanghai,EUI,187.0125889,0.02896608412,a
Shanghai,EUI,188.2998177,0.04886753485,a
Guangzhou,EUI,111.1657101,-0.05150394887,a
Wuhan,EUI,114.3902853,0.168835476,a
Beijing,EUI,31.89,-0.3402605951,a
Shanghai,EUI,115.325407,0.02776584402,a
Shanghai,EUI,195.2049422,-0.05756440759,a
Beijing,EUI,31.89,-0.5662735701,a
Shanghai,EUI,187.2485478,-0.04446260259,a
Shanghai,EUI,187.2485478,0.1030249298,a
Beijing,EUI,31.89,0.007816677913,a
Guangzhou,EUI,109.7917022,0.04867640883,a
Shanghai,EUI,107.9609077,-0.03961469233,a
Shanghai,EUI,112.5992859,0.2166056931,a
Shanghai,EUI,186.0630269,0.1136588007,a
Shanghai,EUI,195.2049422,-0.06297098845,a
Shanghai,EUI,106.577636,0.0263697058,a
Shanghai,EUI,109.462613,0.06019907072,a
Shanghai,EUI,186.0630269,0.005373476073,a
Shanghai,EUI,193.1126855,-0.08625531942,a
Wuhan,EUI,113.6977309,-0.04650989547,a
Wuhan,EUI,190.3989335,-0.09371311963,a
Shanghai,EUI,116.1881784,0.07467546314,a
Shanghai,EUI,107.585316,0.0589848794,a
Shanghai,EUI,188.7835764,0.04783704504,a
Shanghai,EUI,188.2998177,0.02928607911,a
Shanghai,EUI,280.6221637,0.3140239418,a
Shanghai,EUI,106.9527713,0.02898026071,a
Shanghai,EUI,276.9039955,-0.007061592303,a
Shanghai,EUI,195.2049422,-0.07086014003,a
Shanghai,EUI,191.0414887,-0.005903802812,a
Beijing,EUI,31.89,0.01799410209,a
Shanghai,EUI,106.9552835,-0.09608373046,a
Wuhan,EUI,275.5300433,0.04540937766,a
Guangzhou,EUI,203.9964083,-0.04670354724,a
Shanghai,EUI,197.3488027,0.09080778062,a
Wuhan,EUI,195.7330632,0.1028030142,a
Shanghai,EUI,277.1405325,0.04151650891,a
Shanghai,EUI,106.1021412,-0.1935004592,a
Wuhan,EUI,195.7330632,-0.05055299774,a
Wuhan,EUI,113.0252148,0.1326198876,a
Wuhan,EUI,193.5994381,-0.03286826611,a
Shanghai,EUI,107.1539687,0.03923708946,a
Beijing,EUI,31.89,-0.4400447011,a
Beijing,EUI,107.67,0.005186505616,a
Shanghai,EUI,188.2998177,0.08435589075,a
Wuhan,EUI,195.953976,-0.09224712104,a
Wuhan,EUI,114.3902853,0.07667510957,a
Shanghai,EUI,272.5330194,-0.01813567802,a
Wuhan,EUI,195.7330632,0.07291158289,a
Beijing,EUI,31.89,-0.372281462,a
Guangzhou,EUI,210.7021049,0.06211574376,a
Shanghai,EUI,197.3488027,0.04546740279,a
Shanghai,EUI,187.0125889,0.0680821687,a
Guangzhou,EUI,210.7021049,-0.01056773588,a
Shanghai,EUI,191.0414887,-6.335771468e-05,a
Guangzhou,EUI,203.9964083,-0.0440139398,a
Shanghai,EUI,193.1126855,-0.01043567713,a
Shanghai,EUI,106.0727756,-0.2495139092,a
Shanghai,EUI,195.4514685,-0.08305026591,a
Shanghai,EUI,277.1405325,0.06176531315,a
Shanghai,EUI,186.0630269,0.08759084344,a
Shanghai,EUI,107.585316,0.03670663759,a
Shanghai,EUI,186.0630269,0.1244554371,a
Beijing,EUI,93.68,-0.1042206511,a
Beijing,EUI,31.89,-0.3211871982,a
Shanghai,EUI,106.4164739,-0.01178389322,a
Shanghai,EUI,191.1767205,0.1631926447,a
Shanghai,EUI,275.789566,0.0107512176,a
Shanghai,EUI,106.3644518,-0.1854102761,a
Wuhan,EUI,192.9705051,0.1013841853,a
Beijing,EUI,107.67,-0.0636652261,a
Guangzhou,EUI,210.7021049,0.02543765493,a
Guangzhou,EUI,107.3167757,0.06504976749,a
Shanghai,EUI,275.8490294,-0.04395032302,a
Wuhan,EUI,190.3989335,-0.08435485512,a
Shanghai,EUI,116.702929,0.1075318009,a
Wuhan,EUI,114.3902853,0.05275883898,a
Shanghai,EUI,196.9700178,-0.05554382131,a
Beijing,EUI,107.67,-0.0001867578831,a
Beijing,EUI,31.89,-0.2691302299,a
Shanghai,EUI,106.999129,-0.06436236948,a
Shanghai,EUI,195.2049422,-0.05947135761,a
Shanghai,EUI,188.2998177,0.0005437025684,a
Wuhan,EUI,111.8004465,0.1145761162,a
Beijing,EUI,107.67,-0.00205104216,a
Guangzhou,EUI,210.7021049,-0.02247998863,a
Shanghai,EUI,116.2192045,-0.00108949712,a
Shanghai,EUI,107.4101181,0.02759185992,a
Guangzhou,EUI,209.1166956,-0.1189558804,a
Shanghai,EUI,186.0630269,0.07202672213,a
Shanghai,EUI,193.1126855,-0.04901090264,a
Shanghai,EUI,186.0630269,-0.008145177737,a
Shanghai,EUI,188.2998177,-0.02217619121,a
Wuhan,EUI,114.2417941,0.1317319274,a
Shanghai,EUI,196.9700178,-0.07063134015,a
Shanghai,EUI,195.4514685,0.02065604925,a
Shanghai,EUI,186.0630269,-0.0220323354,a
Guangzhou,EUI,106.0466835,-0.2070144117,a
Beijing,EUI,31.89,-0.5012265444,a
Shanghai,EUI,110.056914,-0.07824991643,a
Wuhan,EUI,195.7330632,0.2126467526,a
Shanghai,EUI,186.0630269,0.03032644093,a
Beijing,EUI,107.67,-0.02039957978,a
Wuhan,EUI,192.9705051,0.3418973386,a
Shanghai,EUI,195.4514685,-0.05956647918,a
Beijing,EUI,31.89,-0.3770188689,a
Guangzhou,EUI,210.0137391,0.09832895547,a
Shanghai,EUI,186.0630269,0.3031181693,a
Beijing,EUI,31.89,-0.3279028833,a
Guangzhou,EUI,210.1468176,0.1309181601,a
Shanghai,EUI,125.3372569,-0.08775307238,a
Beijing,EUI,31.89,-0.6284797192,a
Guangzhou,EUI,103.8821675,-0.4080519974,a
Guangzhou,EUI,294.1702351,0.1190900952,a
Shanghai,EUI,187.0125889,0.1199619621,a
Guangzhou,EUI,210.7021049,0.03087244183,a
Wuhan,EUI,114.2417941,0.1811748147,a
Shanghai,EUI,195.2049422,-0.1048318297,a
Shanghai,EUI,106.0727756,-0.1618022919,a
Shanghai,EUI,186.0630269,-0.002827912336,a
Wuhan,EUI,113.6977309,0.04943035543,a
Guangzhou,EUI,210.1468176,0.004544516094,a
Wuhan,EUI,190.3989335,0.04401778802,a
Shanghai,EUI,187.2485478,-0.02383803204,a
Beijing,EUI,107.67,-0.09900900722,a
Guangzhou,EUI,198.9517433,0.01471065916,a
Shanghai,EUI,276.9039955,-0.0786011368,a
Shanghai,EUI,110.056914,0.01359081827,a
Shanghai,EUI,186.0630269,0.04548946768,a
Shanghai,EUI,107.1539687,0.02367383428,a
Shanghai,EUI,189.724048,0.02966491133,a
Shanghai,EUI,106.9527713,-0.01914638467,a
Guangzhou,EUI,102.243521,-0.6479103565,a
Beijing,EUI,107.67,6.604962982e-05,a
Shanghai,EUI,195.4514685,-0.0225190632,a
Beijing,EUI,31.89,-0.5308577418,a
Wuhan,EUI,118.2591051,0.02137026377,a
Shanghai,EUI,195.2049422,-0.0706699118,a
Shanghai,EUI,195.4514685,-0.04238654673,a
Shanghai,EUI,187.2485478,0.1040415391,a
Wuhan,EUI,116.2730259,-0.02066022158,a
Beijing,EUI,129.48,0.01694652438,a
Guangzhou,EUI,206.186642,0.1233107075,a
Beijing,EUI,107.68,0.05418467149,a
Shanghai,EUI,191.0414887,-0.0182797052,a
Wuhan,EUI,192.4179605,0.1687436998,a
Shanghai,EUI,122.5042299,-0.00125614868,a
Shanghai,EUI,188.2998177,0.06093016639,a
Shanghai,EUI,106.577636,-0.007916733623,a
Shanghai,EUI,109.462613,0.04373582825,a
Shanghai,EUI,191.0414887,0.001134948456,a
Shanghai,EUI,275.789566,-0.04148840904,a
Shanghai,EUI,110.056914,0.05537045375,a
Shanghai,EUI,188.7835764,0.1043189466,a
Shanghai,EUI,188.7835764,0.06844619662,a
