City,Feature,Mean_abs_SHAP,Pearson_r_feature_SHAP,Directional_importance
Beijing,Projected_Area,0.499520749,0.778154103,0.499520749
Beijing,Height,0.426533133,0.805547481,0.426533133
Beijing,Plot_Ratio,0.16231665,-0.448350535,-0.16231665
Beijing,Effective_Age,0.277569503,0.528084593,0.277569503
Beijing,Mean_Age_Score,0.26399222,0.209804384,0.26399222
Beijing,Pop_Density,0.19565174,0.157353676,0.19565174
Beijing,Price,0.222106189,0.465507806,0.222106189
Beijing,Fee,0.413274229,-0.345629061,-0.413274229
Beijing,EUI,0.142421722,-0.872853911,-0.142421722
Shanghai,Projected_Area,0.588255167,0.542402926,0.588255167
Shanghai,Height,0.230991125,0.542514633,0.230991125
Shanghai,Plot_Ratio,0.238349706,0.672150762,0.238349706
Shanghai,Effective_Age,0.259848446,0.101902151,0.259848446
Shanghai,Mean_Age_Score,0.583478093,0.597181717,0.583478093
Shanghai,Pop_Density,0.233951807,0.048364101,0.233951807
Shanghai,Price,0.283460528,0.130791787,0.283460528
Shanghai,Fee,0.146502838,0.471275593,0.146502838
Shanghai,EUI,0.130963281,-0.389962288,-0.130963281
Guangzhou,Projected_Area,0.729016423,0.605738632,0.729016423
Guangzhou,Height,0.191233158,0.73737237,0.191233158
Guangzhou,Plot_Ratio,0.107640877,0.587000089,0.107640877
Guangzhou,Effective_Age,0.116860159,0.642673374,0.116860159
Guangzhou,Mean_Age_Score,0.300341308,0.820428644,0.300341308
Guangzhou,Pop_Density,0.200468525,0.061173126,0.200468525
Guangzhou,Price,0.174551919,0.203753619,0.174551919
Guangzhou,Fee,0.097910307,-0.463386587,-0.097910307
Guangzhou,EUI,0.082770117,-0.006464352,-0.082770117
Wuhan,Projected_Area,0.590562761,0.606797395,0.590562761
Wuhan,Height,0.207595408,0.864247125,0.207595408
Wuhan,Plot_Ratio,0.164293215,0.535705358,0.164293215
Wuhan,Effective_Age,0.143626735,0.620097277,0.143626735
Wuhan,Mean_Age_Score,0.434722334,0.706008047,0.434722334
Wuhan,Pop_Density,0.212604195,0.378123923,0.212604195
Wuhan,Price,0.273654044,0.414543614,0.273654044
Wuhan,Fee,0.12563929,0.222131625,0.12563929
Wuhan,EUI,0.100315951,-0.465689564,-0.100315951
