City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,Projected_Area,281.404,0.01883827709,"a,c"
Wuhan,Projected_Area,689.5349,0.6949273944,"a,c"
Wuhan,Projected_Area,744.4205,0.7993255258,"a,c"
Shanghai,Projected_Area,746.1667,1.002839327,"a,c"
Shanghai,Projected_Area,324.8548,-0.04290344194,"a,c"
Shanghai,Projected_Area,210.287,-1.328068495,"a,c"
Shanghai,Projected_Area,828.9229,0.7607748508,"a,c"
Shanghai,Projected_Area,202.9366,-1.143651962,"a,c"
Shanghai,Projected_Area,198.1027,-0.4313037992,"a,c"
Shanghai,Projected_Area,493.2043,0.1453504562,"a,c"
Wuhan,Projected_Area,514.5464,-0.2345508486,"a,c"
Guangzhou,Projected_Area,374.0142,0.2266346067,"a,c"
Shanghai,Projected_Area,849.1466,0.7038990855,"a,c"
Shanghai,Projected_Area,726.8159,0.6459920406,"a,c"
Shanghai,Projected_Area,726.3585,0.4653829634,"a,c"
Shanghai,Projected_Area,392.7867,0.1255315393,"a,c"
Shanghai,Projected_Area,371.6079,-0.07679507881,"a,c"
Wuhan,Projected_Area,239.2887,-1.370562434,"a,c"
Shanghai,Projected_Area,187.9145,-2.20725894,"a,c"
Shanghai,Projected_Area,396.6643,0.04913683981,"a,c"
Shanghai,Projected_Area,562.9766,0.09626036137,"a,c"
Shanghai,Projected_Area,203.6844,-0.6489537358,"a,c"
Shanghai,Projected_Area,114.1768,-1.721428156,"a,c"
Wuhan,Projected_Area,358.2031,-0.2376555353,"a,c"
Beijing,Projected_Area,938.1967,0.1203262582,"a,c"
Shanghai,Projected_Area,304.1025,0.05329861119,"a,c"
Shanghai,Projected_Area,161.8407,-2.074975967,"a,c"
Beijing,Projected_Area,680.5066,0.3999809623,"a,c"
Shanghai,Projected_Area,636.8577,0.5326414108,"a,c"
Shanghai,Projected_Area,428.2577,0.4197682142,"a,c"
Wuhan,Projected_Area,197.789,-0.653701663,"a,c"
Shanghai,Projected_Area,548.539,0.0416822508,"a,c"
Shanghai,Projected_Area,582.3157,-0.003964100499,"a,c"
Shanghai,Projected_Area,428.0531,0.4424702525,"a,c"
Shanghai,Projected_Area,238.7029,-1.397181988,"a,c"
Shanghai,Projected_Area,349.8739,-0.02971986495,"a,c"
Shanghai,Projected_Area,763.0691,0.7587908506,"a,c"
Shanghai,Projected_Area,522.5324,0.1282260567,"a,c"
Shanghai,Projected_Area,303.2944,-0.3411203325,"a,c"
Shanghai,Projected_Area,693.2171,0.5122823119,"a,c"
Beijing,Projected_Area,678.4865,0.3872909248,"a,c"
Shanghai,Projected_Area,418.3977,0.1683101058,"a,c"
Shanghai,Projected_Area,461.5472,0.3158479631,"a,c"
Beijing,Projected_Area,923.6875,0.2674101591,"a,c"
Guangzhou,Projected_Area,147.5504,-1.459295511,"a,c"
Shanghai,Projected_Area,112.3514,-1.529944181,"a,c"
Guangzhou,Projected_Area,99.1933,-1.42576158,"a,c"
Shanghai,Projected_Area,88.3653,-1.348477602,"a,c"
Shanghai,Projected_Area,144.5208,-1.911465049,"a,c"
Wuhan,Projected_Area,650.4955,0.5463805199,"a,c"
Shanghai,Projected_Area,124.0639,-1.506720424,"a,c"
Beijing,Projected_Area,481.0396,0.2006631494,"a,c"
Shanghai,Projected_Area,363.0091,-0.05010408908,"a,c"
Shanghai,Projected_Area,90.1979,-1.639214039,"a,c"
Shanghai,Projected_Area,108.0484,-1.846784592,"a,c"
Wuhan,Projected_Area,1212.0982,0.7105560303,"a,c"
Shanghai,Projected_Area,485.888,0.2045947462,"a,c"
Guangzhou,Projected_Area,206.627,-1.349704027,"a,c"
Wuhan,Projected_Area,370.0266,-0.2479925007,"a,c"
Shanghai,Projected_Area,470.9548,0.1750436723,"a,c"
Wuhan,Projected_Area,112.71,-1.666845679,"a,c"
Guangzhou,Projected_Area,765.3495,0.423032999,"a,c"
Shanghai,Projected_Area,214.4637,-1.444816709,"a,c"
Beijing,Projected_Area,531.8967,-0.0166356992,"a,c"
Shanghai,Projected_Area,123.6126,-1.507465243,"a,c"
Shanghai,Projected_Area,381.5237,-0.06247144565,"a,c"
Beijing,Projected_Area,243.9277,-1.301895499,"a,c"
Shanghai,Projected_Area,476.1156,0.3726186156,"a,c"
Shanghai,Projected_Area,131.8841,-1.834555507,"a,c"
Shanghai,Projected_Area,431.5312,0.242466405,"a,c"
Shanghai,Projected_Area,755.6952,0.5672832131,"a,c"
Beijing,Projected_Area,548.3853,-0.06316149235,"a,c"
Wuhan,Projected_Area,472.5625,0.3255310655,"a,c"
Wuhan,Projected_Area,396.1794,0.005594990216,"a,c"
Shanghai,Projected_Area,228.9866,-1.563538074,"a,c"
Shanghai,Projected_Area,244.9294,-0.879178524,"a,c"
Shanghai,Projected_Area,492.364,0.4121738076,"a,c"
Shanghai,Projected_Area,635.2327,0.4449806213,"a,c"
Shanghai,Projected_Area,640.864,0.5298923254,"a,c"
Wuhan,Projected_Area,1008.5084,0.3292933106,"a,c"
Shanghai,Projected_Area,187.6461,-1.879926324,"a,c"
Shanghai,Projected_Area,106.9526,-1.847716093,"a,c"
Shanghai,Projected_Area,111.202,-1.384978771,"a,c"
Guangzhou,Projected_Area,285.6474,-0.4263623953,"a,c"
Shanghai,Projected_Area,132.7931,-1.981414914,"a,c"
Shanghai,Projected_Area,124.515,-1.509403586,"a,c"
Shanghai,Projected_Area,131.4002,-1.595165491,"a,c"
Wuhan,Projected_Area,232.85,-0.9297409058,"a,c"
Shanghai,Projected_Area,373.6062,-0.02258467674,"a,c"
Beijing,Projected_Area,343.5949,-0.1619204432,"a,c"
Guangzhou,Projected_Area,551.9978,-0.04633243755,"a,c"
Wuhan,Projected_Area,410.474,0.136271134,"a,c"
Shanghai,Projected_Area,196.7783,-1.876374841,"a,c"
Shanghai,Projected_Area,445.5169,0.2847232819,"a,c"
Shanghai,Projected_Area,112.256,-1.628496528,"a,c"
Shanghai,Projected_Area,483.7023,0.3249060512,"a,c"
Wuhan,Projected_Area,678.9245,0.3621229231,"a,c"
Shanghai,Projected_Area,399.967,0.02358511463,"a,c"
Shanghai,Projected_Area,456.8429,0.3491789401,"a,c"
Wuhan,Projected_Area,281.6129,-0.3432061672,"a,c"
Shanghai,Projected_Area,661.4569,0.3346809745,"a,c"
Shanghai,Projected_Area,187.111,-1.817621231,"a,c"
Shanghai,Projected_Area,448.6509,0.2832223773,"a,c"
Shanghai,Projected_Area,443.1826,0.2035691142,"a,c"
Beijing,Projected_Area,524.7534,-0.05965053663,"a,c"
Guangzhou,Projected_Area,284.8231,-0.3417109847,"a,c"
Wuhan,Projected_Area,574.2431,-0.2274427414,"a,c"
Shanghai,Projected_Area,765.4532,0.8073485494,"a,c"
Shanghai,Projected_Area,448.3081,0.187886253,"a,c"
Guangzhou,Projected_Area,408.8039,-0.04063273966,"a,c"
Wuhan,Projected_Area,758.8252,0.4905816317,"a,c"
Wuhan,Projected_Area,482.2584,0.02858494036,"a,c"
Wuhan,Projected_Area,640.2988,0.4831849933,"a,c"
Beijing,Projected_Area,1112.6734,0.8938139081,"a,c"
Shanghai,Projected_Area,459.0749,0.2052382231,"a,c"
Shanghai,Projected_Area,421.2416,0.1775953621,"a,c"
Shanghai,Projected_Area,289.8665,-0.1998587549,"a,c"
Shanghai,Projected_Area,271.8089,-0.2743580043,"a,c"
Shanghai,Projected_Area,619.9356,0.587880075,"a,c"
Shanghai,Projected_Area,279.7783,-0.2735847533,"a,c"
Shanghai,Projected_Area,232.0576,-1.513337255,"a,c"
Shanghai,Projected_Area,199.4431,-0.5602785349,"a,c"
Guangzhou,Projected_Area,991.1282,0.6828145981,"a,c"
Guangzhou,Projected_Area,138.6239,-1.329724073,"a,c"
Shanghai,Projected_Area,141.1359,-2.119647741,"a,c"
Shanghai,Projected_Area,278.3751,-0.3611406386,"a,c"
Shanghai,Projected_Area,772.7782,0.6197910905,"a,c"
Shanghai,Projected_Area,160.0002,-2.088978767,"a,c"
Guangzhou,Projected_Area,267.5302,-0.1503217965,"a,c"
Wuhan,Projected_Area,135.2993,-1.723023534,"a,c"
Wuhan,Projected_Area,436.9478,0.2948448062,"a,c"
Shanghai,Projected_Area,548.4926,0.01783321053,"a,c"
Shanghai,Projected_Area,306.751,0.005014492199,"a,c"
Wuhan,Projected_Area,399.5626,0.05775598437,"a,c"
Shanghai,Projected_Area,143.5384,-1.667836428,"a,c"
Wuhan,Projected_Area,244.7289,-0.9238426685,"a,c"
Shanghai,Projected_Area,264.2797,-0.1814060211,"a,c"
Shanghai,Projected_Area,332.2878,0.4245465994,"a,c"
Shanghai,Projected_Area,230.6096,-1.382565141,"a,c"
Shanghai,Projected_Area,445.259,0.5688830614,"a,c"
Shanghai,Projected_Area,339.373,-0.1228091195,"a,c"
Shanghai,Projected_Area,575.4567,0.0155398529,"a,c"
Shanghai,Projected_Area,369.4925,-0.02766325511,"a,c"
Shanghai,Projected_Area,429.2616,0.3535269499,"a,c"
Guangzhou,Projected_Area,655.2009,0.3534712791,"a,c"
Wuhan,Projected_Area,933.1568,0.1667082012,"a,c"
Shanghai,Projected_Area,276.7267,-0.1460370868,"a,c"
Shanghai,Projected_Area,217.2567,-1.678555131,"a,c"
Shanghai,Projected_Area,283.168,-0.06307385117,"a,c"
Shanghai,Projected_Area,157.3404,-2.034370661,"a,c"
Shanghai,Projected_Area,181.1866,-2.446304083,"a,c"
Guangzhou,Projected_Area,139.0606,-1.284286737,"a,c"
Shanghai,Projected_Area,524.8553,0.02941051312,"a,c"
Guangzhou,Projected_Area,193.7743,-1.726091385,"a,c"
Shanghai,Projected_Area,235.3332,-1.200818181,"a,c"
Shanghai,Projected_Area,345.4339,0.1196838319,"a,c"
Wuhan,Projected_Area,839.8039,0.6310132146,"a,c"
Shanghai,Projected_Area,637.1092,0.4117368162,"a,c"
Beijing,Projected_Area,624.8427,0.3534038067,"a,c"
Shanghai,Projected_Area,439.8952,0.2516635656,"a,c"
Shanghai,Projected_Area,243.6794,-1.460917473,"a,c"
Beijing,Projected_Area,162.2359,-2.204682589,"a,c"
Shanghai,Projected_Area,422.942,0.1866852045,"a,c"
Shanghai,Projected_Area,181.7348,-1.909587741,"a,c"
Shanghai,Projected_Area,233.6211,-1.257547259,"a,c"
Beijing,Projected_Area,324.28,0.1023343951,"a,c"
Shanghai,Projected_Area,127.5506,-1.672929525,"a,c"
Shanghai,Projected_Area,499.2072,0.4285754263,"a,c"
Shanghai,Projected_Area,362.6801,0.1682202518,"a,c"
Wuhan,Projected_Area,176.8719,-1.549040437,"a,c"
Shanghai,Projected_Area,730.8583,0.5821745992,"a,c"
Beijing,Projected_Area,242.4373,-1.27050674,"a,c"
Shanghai,Projected_Area,330.17,-0.002502206946,"a,c"
Wuhan,Projected_Area,384.1467,-0.07578998059,"a,c"
Shanghai,Projected_Area,107.0663,-1.597884297,"a,c"
Shanghai,Projected_Area,226.742,-1.724167705,"a,c"
Shanghai,Projected_Area,136.0519,-1.937822223,"a,c"
Wuhan,Projected_Area,516.5149,0.007215327118,"a,c"
Beijing,Projected_Area,304.6264,0.06758987159,"a,c"
Wuhan,Projected_Area,454.8325,0.2852036953,"a,c"
Shanghai,Projected_Area,166.342,-1.850712299,"a,c"
Wuhan,Projected_Area,429.53,0.2848845124,"a,c"
Shanghai,Projected_Area,271.9702,-0.1910306513,"a,c"
Wuhan,Projected_Area,722.0614,0.2211986184,"a,c"
Shanghai,Projected_Area,207.2939,-1.372892141,"a,c"
Shanghai,Projected_Area,88.863,-1.54964745,"a,c"
Wuhan,Projected_Area,399.6643,-0.009131806903,"a,c"
Shanghai,Projected_Area,112.0863,-1.91423142,"a,c"
Guangzhou,Projected_Area,251.8747,-0.7620505691,"a,c"
Shanghai,Projected_Area,572.8426,-0.0571677275,"a,c"
Shanghai,Projected_Area,160.0265,-2.184448242,"a,c"
Shanghai,Projected_Area,586.2064,0.205435738,"a,c"
Wuhan,Projected_Area,842.0507,0.7983725667,"a,c"
Beijing,Projected_Area,682.2918,0.3447761238,"a,c"
Wuhan,Projected_Area,469.9278,0.3386576176,"a,c"
Wuhan,Projected_Area,97.9246,-1.008917928,"a,c"
Shanghai,Projected_Area,235.5486,-1.570222974,"a,c"
Beijing,Projected_Area,141.8764,-1.330222487,"a,c"
Wuhan,Projected_Area,346.0986,-0.1975479424,"a,c"
Shanghai,Projected_Area,627.6807,0.4567614496,"a,c"
Shanghai,Projected_Area,396.9114,0.3265691102,"a,c"
Shanghai,Projected_Area,258.6743,-0.1680617779,"a,c"
Shanghai,Projected_Area,277.9545,-0.3509428501,"a,c"
Beijing,Projected_Area,511.7803,-0.1436915398,"a,c"
Shanghai,Projected_Area,91.5531,-1.50188303,"a,c"
Guangzhou,Projected_Area,145.695,-1.547678471,"a,c"
Shanghai,Projected_Area,302.0626,-0.2426349223,"a,c"
Shanghai,Projected_Area,345.3356,0.0774089843,"a,c"
Shanghai,Projected_Area,351.0149,0.02688578144,"a,c"
Shanghai,Projected_Area,358.3832,-0.1192436665,"a,c"
Shanghai,Projected_Area,324.6313,-0.110961616,"a,c"
Shanghai,Projected_Area,334.3687,0.01972163469,"a,c"
Shanghai,Projected_Area,452.2366,0.2863796949,"a,c"
Shanghai,Projected_Area,567.262,-0.09255883098,"a,c"
Shanghai,Projected_Area,325.7089,-0.02519442141,"a,c"
Guangzhou,Projected_Area,1013.6568,0.4999908507,"a,c"
Beijing,Projected_Area,134.906,-1.967579007,"a,c"
Shanghai,Projected_Area,251.055,-0.420824796,"a,c"
Wuhan,Projected_Area,573.8401,-0.04245895892,"a,c"
Wuhan,Projected_Area,689.6767,0.330529958,"a,c"
Shanghai,Projected_Area,638.365,0.5759983659,"a,c"
Guangzhou,Projected_Area,100.1585,-1.24536109,"a,c"
Shanghai,Projected_Area,303.3893,-0.352289021,"a,c"
Wuhan,Projected_Area,197.298,-0.682572186,"a,c"
Beijing,Projected_Area,951.4993,0.3297876418,"a,c"
Shanghai,Projected_Area,135.3449,-1.717375994,"a,c"
Wuhan,Projected_Area,166.8601,-1.802824736,"a,c"
Shanghai,Projected_Area,262.3862,0.01892940514,"a,c"
Shanghai,Projected_Area,380.774,0.07672937959,"a,c"
Beijing,Projected_Area,598.5196,0.3096684813,"a,c"
Shanghai,Projected_Area,679.8479,0.2586904764,"a,c"
Shanghai,Projected_Area,163.8432,-2.30424428,"a,c"
Shanghai,Projected_Area,1144.1871,0.6834158301,"a,c"
Guangzhou,Projected_Area,111.0274,-1.46282959,"a,c"
Shanghai,Projected_Area,448.0253,0.3591377437,"a,c"
Shanghai,Projected_Area,309.3288,0.09366967529,"a,c"
Shanghai,Projected_Area,519.5321,0.09876712412,"a,c"
Beijing,Projected_Area,139.5973,-1.144622445,"a,c"
Wuhan,Projected_Area,548.4036,-0.03051983565,"a,c"
Shanghai,Projected_Area,229.5286,-1.397131324,"a,c"
Shanghai,Projected_Area,607.0697,0.5216266513,"a,c"
Shanghai,Projected_Area,402.6183,0.3009272814,"a,c"
Shanghai,Projected_Area,197.1486,-0.5389819145,"a,c"
Guangzhou,Projected_Area,568.6418,-0.08675988764,"a,c"
Shanghai,Projected_Area,361.1415,-0.1016207188,"a,c"
Shanghai,Projected_Area,312.6989,0.2648233771,"a,c"
Shanghai,Projected_Area,298.0131,-0.2860902548,"a,c"
Shanghai,Projected_Area,656.0212,0.2637156844,"a,c"
Shanghai,Projected_Area,205.8057,-1.01117456,"a,c"
Guangzhou,Projected_Area,196.1559,-1.655973792,"a,c"
Wuhan,Projected_Area,532.5329,0.007948628627,"a,c"
Guangzhou,Projected_Area,393.8603,-0.08754311502,"a,c"
Guangzhou,Projected_Area,160.4668,-1.515079498,"a,c"
Guangzhou,Projected_Area,97.9846,-1.491894484,"a,c"
Shanghai,Projected_Area,588.0717,0.211576432,"a,c"
Shanghai,Projected_Area,169.7753,-1.828359365,"a,c"
Shanghai,Projected_Area,104.6846,-1.648126006,"a,c"
Shanghai,Projected_Area,118.1716,-1.09621799,"a,c"
Wuhan,Projected_Area,467.4757,0.3694745898,"a,c"
Shanghai,Projected_Area,161.4522,-1.630681038,"a,c"
Shanghai,Projected_Area,391.6557,0.1315590441,"a,c"
Shanghai,Projected_Area,618.2279,0.3161077201,"a,c"
Wuhan,Projected_Area,1093.0151,0.9096853137,"a,c"
Wuhan,Projected_Area,541.9414,0.0574160479,"a,c"
Guangzhou,Projected_Area,480.1648,0.1571398526,"a,c"
Shanghai,Projected_Area,464.6833,0.3452433944,"a,c"
Shanghai,Projected_Area,502.4027,0.3143259287,"a,c"
Shanghai,Projected_Area,235.6742,-1.585790634,"a,c"
Shanghai,Projected_Area,255.0891,-0.8044646978,"a,c"
Shanghai,Projected_Area,294.0465,-0.2003069371,"a,c"
Guangzhou,Projected_Area,112.7983,-1.201725841,"a,c"
Shanghai,Projected_Area,199.0877,-1.22810483,"a,c"
Shanghai,Projected_Area,164.7784,-2.358355522,"a,c"
Guangzhou,Projected_Area,484.0328,0.05625163391,"a,c"
Shanghai,Projected_Area,534.5441,0.1561768055,"a,c"
Guangzhou,Projected_Area,1234.9586,1.049296737,"a,c"
Wuhan,Projected_Area,1101.8639,0.8924754262,"a,c"
Shanghai,Projected_Area,840.4906,0.6092557311,"a,c"
Wuhan,Projected_Area,102.7754,-1.810397863,"a,c"
Shanghai,Projected_Area,306.8648,-0.2788713872,"a,c"
Beijing,Projected_Area,170.0485,-1.030649543,"a,c"
Shanghai,Projected_Area,187.2544,-1.943904877,"a,c"
Shanghai,Projected_Area,319.0924,0.131270051,"a,c"
Shanghai,Projected_Area,292.4159,-0.3533729911,"a,c"
Shanghai,Projected_Area,823.5471,0.5188570023,"a,c"
Wuhan,Projected_Area,221.3739,-1.117647767,"a,c"
Beijing,Projected_Area,210.6533,-1.391001701,"a,c"
Shanghai,Projected_Area,347.1175,0.1345356405,"a,c"
Shanghai,Projected_Area,436.6367,0.3225299418,"a,c"
Shanghai,Projected_Area,375.9998,0.2351183146,"a,c"
Shanghai,Projected_Area,732.7946,0.6684289575,"a,c"
Beijing,Projected_Area,1031.3482,0.3741238415,"a,c"
Shanghai,Projected_Area,514.6616,0.002825198229,"a,c"
Shanghai,Projected_Area,132.8838,-1.751636744,"a,c"
Guangzhou,Projected_Area,559.0093,-0.03166422993,"a,c"
Wuhan,Projected_Area,528.5791,0.03355817124,"a,c"
Shanghai,Projected_Area,140.3094,-2.047424555,"a,c"
Wuhan,Projected_Area,445.6413,0.07514867187,"a,c"
Beijing,Projected_Area,430.4898,0.3861173987,"a,c"
Wuhan,Projected_Area,201.1857,-0.7463963628,"a,c"
Guangzhou,Projected_Area,80.639,-1.413349628,"a,c"
Beijing,Projected_Area,358.9462,-0.1490593255,"a,c"
Shanghai,Projected_Area,430.2585,0.3094700277,"a,c"
Shanghai,Projected_Area,202.5979,-0.7954217792,"a,c"
Shanghai,Projected_Area,121.0237,-1.638010621,"a,c"
Wuhan,Projected_Area,1378.4743,0.6350530386,"a,c"
Beijing,Projected_Area,1316.3906,0.7538872957,"a,c"
Wuhan,Projected_Area,415.2603,0.01700441726,"a,c"
Shanghai,Projected_Area,736.1999,0.7447378635,"a,c"
Wuhan,Projected_Area,190.0805,-2.077324629,"a,c"
Guangzhou,Projected_Area,526.186,0.001722612651,"a,c"
Wuhan,Projected_Area,410.7638,0.1665093601,"a,c"
Beijing,Projected_Area,449.8431,0.08440177888,"a,c"
Shanghai,Projected_Area,401.2244,0.245118916,"a,c"
Shanghai,Projected_Area,647.342,0.5100358725,"a,c"
Wuhan,Projected_Area,314.9662,0.1819963306,"a,c"
Beijing,Projected_Area,353.2921,-0.02695197985,"a,c"
Shanghai,Projected_Area,231.4517,-1.567340612,"a,c"
Shanghai,Projected_Area,491.1538,0.2140004784,"a,c"
Shanghai,Projected_Area,406.7926,0.05330601335,"a,c"
Shanghai,Projected_Area,178.9121,-2.001155376,"a,c"
Beijing,Projected_Area,649.6814,0.6478853822,"a,c"
Wuhan,Projected_Area,750.9938,0.4345270693,"a,c"
Wuhan,Projected_Area,424.4792,0.1464649439,"a,c"
Shanghai,Projected_Area,386.4641,0.06635650247,"a,c"
Shanghai,Projected_Area,198.821,-1.036179304,"a,c"
Shanghai,Projected_Area,121.1012,-1.411634803,"a,c"
Shanghai,Projected_Area,363.4486,-0.147885412,"a,c"
Shanghai,Projected_Area,146.7804,-1.945871711,"a,c"
Shanghai,Projected_Area,202.2724,-0.6385484338,"a,c"
Shanghai,Projected_Area,400.7315,-0.01212871447,"a,c"
Guangzhou,Projected_Area,234.8789,-1.524913549,"a,c"
Wuhan,Projected_Area,913.5297,0.3651521802,"a,c"
Wuhan,Projected_Area,254.0396,-0.3851588666,"a,c"
Guangzhou,Projected_Area,87.9428,-1.345050335,"a,c"
Shanghai,Projected_Area,183.0739,-1.784463763,"a,c"
Shanghai,Projected_Area,278.9051,-0.2116411179,"a,c"
Shanghai,Projected_Area,454.4703,0.1496398598,"a,c"
Shanghai,Projected_Area,617.3656,0.430865705,"a,c"
Guangzhou,Projected_Area,1454.9718,0.5810466409,"a,c"
Shanghai,Projected_Area,132.0584,-1.67343545,"a,c"
Shanghai,Projected_Area,138.0392,-1.720122457,"a,c"
Shanghai,Projected_Area,770.3762,0.4679229558,"a,c"
Shanghai,Projected_Area,302.7626,-0.07939373702,"a,c"
Guangzhou,Projected_Area,177.6353,-1.627198219,"a,c"
Wuhan,Projected_Area,125.2124,-1.902094483,"a,c"
Wuhan,Projected_Area,1286.6381,0.9505304694,"a,c"
Wuhan,Projected_Area,539.459,0.003568004584,"a,c"
Shanghai,Projected_Area,613.378,0.5098184943,"a,c"
Shanghai,Projected_Area,585.654,0.04496898502,"a,c"
Beijing,Projected_Area,414.6255,-0.1022730991,"a,c"
Beijing,Projected_Area,250.2583,-0.695004642,"a,c"
Shanghai,Projected_Area,122.225,-1.858137012,"a,c"
Shanghai,Projected_Area,517.1582,0.1339998841,"a,c"
Shanghai,Projected_Area,466.2231,0.3648742735,"a,c"
Shanghai,Projected_Area,403.5143,0.1791895479,"a,c"
Wuhan,Projected_Area,482.4542,0.2086395174,"a,c"
Beijing,Projected_Area,1144.5047,0.7051581144,"a,c"
Shanghai,Projected_Area,237.4837,-1.527277827,"a,c"
Shanghai,Projected_Area,1159.3008,0.7566677928,"a,c"
Beijing,Projected_Area,792.9534,1.044722676,"a,c"
Shanghai,Projected_Area,488.751,0.3586699367,"a,c"
Beijing,Projected_Area,80.4071,-1.236067533,"a,c"
Shanghai,Projected_Area,704.1624,0.6174916625,"a,c"
Beijing,Projected_Area,268.5369,-0.3441621661,"a,c"
Shanghai,Projected_Area,210.2719,-1.511869788,"a,c"
Shanghai,Projected_Area,319.4468,0.07101424038,"a,c"
Beijing,Projected_Area,534.2137,-0.07606959343,"a,c"
Guangzhou,Projected_Area,194.0616,-1.645870566,"a,c"
Shanghai,Projected_Area,161.5722,-1.753571868,"a,c"
Guangzhou,Projected_Area,323.7848,-0.08044285327,"a,c"
Wuhan,Projected_Area,1183.1839,0.7262486219,"a,c"
Guangzhou,Projected_Area,259.9069,0.04962857068,"a,c"
Shanghai,Projected_Area,207.1975,-1.611636758,"a,c"
Guangzhou,Projected_Area,200.2329,-0.8019300699,"a,c"
Beijing,Projected_Area,322.5663,0.05820253864,"a,c"
Wuhan,Projected_Area,192.4731,-2.093283653,"a,c"
Wuhan,Projected_Area,238.0194,-0.8224190474,"a,c"
Wuhan,Projected_Area,437.7322,0.2856622636,"a,c"
Wuhan,Projected_Area,472.7096,0.3933410347,"a,c"
Wuhan,Projected_Area,513.9,-0.01473223791,"a,c"
Shanghai,Projected_Area,238.2259,-1.43697691,"a,c"
Shanghai,Projected_Area,375.616,0.2302669734,"a,c"
Wuhan,Projected_Area,190.3163,-1.502725244,"a,c"
Wuhan,Projected_Area,146.1796,-1.731736064,"a,c"
Beijing,Projected_Area,565.5906,-0.1593470424,"a,c"
Shanghai,Projected_Area,681.0502,0.4607140124,"a,c"
Guangzhou,Projected_Area,163.7423,-1.543758988,"a,c"
Shanghai,Projected_Area,442.1236,0.3365016282,"a,c"
Shanghai,Projected_Area,440.4032,0.2893742919,"a,c"
Shanghai,Projected_Area,725.7893,0.5863515735,"a,c"
Shanghai,Projected_Area,469.1534,0.4080297947,"a,c"
Guangzhou,Projected_Area,213.4142,-1.408197403,"a,c"
Guangzhou,Projected_Area,142.4201,-1.226520658,"a,c"
Wuhan,Projected_Area,154.0026,-1.635536671,"a,c"
Shanghai,Projected_Area,1543.7506,0.6462120414,"a,c"
Beijing,Projected_Area,131.2809,-1.920375109,"a,c"
Shanghai,Projected_Area,113.6104,-1.771127105,"a,c"
Shanghai,Projected_Area,311.6661,-0.005703317001,"a,c"
Guangzhou,Projected_Area,92.2051,-1.387238979,"a,c"
Wuhan,Projected_Area,464.6139,0.2523368001,"a,c"
Wuhan,Projected_Area,188.688,-1.67818594,"a,c"
Shanghai,Projected_Area,134.9601,-2.083164454,"a,c"
Guangzhou,Projected_Area,163.6734,-1.703445315,"a,c"
Wuhan,Projected_Area,726.7465,0.4888442755,"a,c"
Beijing,Projected_Area,230.5202,-0.9216769934,"a,c"
Wuhan,Projected_Area,284.1964,-0.1957894117,"a,c"
Shanghai,Projected_Area,646.6744,0.5483192205,"a,c"
Shanghai,Projected_Area,178.4034,-2.081072569,"a,c"
Shanghai,Projected_Area,250.5363,-0.9742876887,"a,c"
Shanghai,Projected_Area,141.4811,-2.010426283,"a,c"
Shanghai,Projected_Area,518.045,0.05341675505,"a,c"
Shanghai,Projected_Area,181.0704,-2.203393698,"a,c"
Shanghai,Projected_Area,419.9383,0.2256358266,"a,c"
Shanghai,Projected_Area,172.2766,-2.178712845,"a,c"
Shanghai,Projected_Area,483.0269,0.1863849163,"a,c"
Shanghai,Projected_Area,818.332,0.8574761152,"a,c"
Wuhan,Projected_Area,184.6824,-1.896396279,"a,c"
Shanghai,Projected_Area,527.8535,0.07200039178,"a,c"
Beijing,Projected_Area,133.0701,-1.90595448,"a,c"
Shanghai,Projected_Area,539.2223,0.1995601654,"a,c"
Guangzhou,Projected_Area,529.2562,0.05840680376,"a,c"
Wuhan,Projected_Area,268.96,-0.2243563235,"a,c"
Wuhan,Projected_Area,163.1402,-1.659627438,"a,c"
Shanghai,Projected_Area,465.7205,0.2323943675,"a,c"
Beijing,Projected_Area,759.7036,0.388910383,"a,c"
Beijing,Projected_Area,920.6073,0.5045902729,"a,c"
Shanghai,Projected_Area,183.7134,-1.996405125,"a,c"
Shanghai,Projected_Area,343.9659,-0.1037210003,"a,c"
Shanghai,Projected_Area,162.4954,-2.101059675,"a,c"
Shanghai,Projected_Area,136.0012,-1.571084261,"a,c"
Guangzhou,Projected_Area,122.3183,-1.42116046,"a,c"
Wuhan,Projected_Area,342.0529,-0.1424261779,"a,c"
Shanghai,Projected_Area,559.3722,-0.01935801655,"a,c"
Shanghai,Projected_Area,267.1775,-0.3558473885,"a,c"
Shanghai,Projected_Area,214.6357,-1.546643972,"a,c"
