City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,Mean_Age_Score,43.9487285,0.1576178968,"a,d"
Shanghai,Mean_Age_Score,40.5782514,-0.4394591153,"a,d"
Wuhan,Mean_Age_Score,35.70671693,-0.7306731343,"a,d"
Shanghai,Mean_Age_Score,46.18714964,0.2782849371,"a,d"
Wuhan,Mean_Age_Score,39.83717317,-0.4570319057,"a,d"
Shanghai,Mean_Age_Score,40.61186922,-0.1099817678,"a,d"
Shanghai,Mean_Age_Score,42.10919105,0.05434206501,"a,d"
Wuhan,Mean_Age_Score,41.19147137,0.01219086535,"a,d"
Beijing,Mean_Age_Score,39.94321893,-0.8051191568,"a,d"
Beijing,Mean_Age_Score,41.53933547,0.0458945483,"a,d"
Shanghai,Mean_Age_Score,42.10918675,-0.03083734587,"a,d"
Shanghai,Mean_Age_Score,40.61186438,0.3836724162,"a,d"
Shanghai,Mean_Age_Score,40.61186254,-0.1654470861,"a,d"
Beijing,Mean_Age_Score,41.39545745,0.005621968303,"a,d"
Shanghai,Mean_Age_Score,39.76457618,-0.6390500069,"a,d"
Beijing,Mean_Age_Score,41.53929226,-0.1726837009,"a,d"
Beijing,Mean_Age_Score,38.95797467,-0.2400949299,"a,d"
Shanghai,Mean_Age_Score,42.46807742,-0.1550250798,"a,d"
Shanghai,Mean_Age_Score,39.76477029,-0.7167469263,"a,d"
Shanghai,Mean_Age_Score,46.33150865,0.4567534924,"a,d"
Guangzhou,Mean_Age_Score,37.01767914,-0.6942867041,"a,d"
Beijing,Mean_Age_Score,42.25742531,0.08638245612,"a,d"
Shanghai,Mean_Age_Score,46.3315097,0.3126760423,"a,d"
Shanghai,Mean_Age_Score,40.2905948,-0.4128056765,"a,d"
Wuhan,Mean_Age_Score,41.93637405,-0.1418048888,"a,d"
Guangzhou,Mean_Age_Score,43.17689361,0.2710122764,"a,d"
Shanghai,Mean_Age_Score,40.61186702,0.3709195852,"a,d"
Shanghai,Mean_Age_Score,46.33149425,0.4411369562,"a,d"
Guangzhou,Mean_Age_Score,35.85462249,-0.8134264946,"a,d"
Shanghai,Mean_Age_Score,39.76473652,-0.1203858331,"a,d"
