City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,Height,9,-0.3913373947,"a,e"
Wuhan,Height,18,-0.1196717769,"a,e"
Shanghai,Height,18,-0.2245438397,"a,e"
Beijing,Height,15,-0.1696823984,"a,e"
Wuhan,Height,9,-0.3435090482,"a,e"
Shanghai,Height,15,-0.0898860991,"a,e"
Shanghai,Height,18,-0.08356554806,"a,e"
Shanghai,Height,9,-0.3143937588,"a,e"
Shanghai,Height,18,-0.17317608,"a,e"
Shanghai,Height,21,0.2738998532,"a,e"
Shanghai,Height,9,-0.3553844392,"a,e"
Guangzhou,Height,9,-0.3621505201,"a,e"
Guangzhou,Height,9,-0.4220679104,"a,e"
Shanghai,Height,12,-0.2076811194,"a,e"
Wuhan,Height,18,-0.1927972287,"a,e"
Guangzhou,Height,18,-0.01142646931,"a,e"
Wuhan,Height,21,0.02241139859,"a,e"
Shanghai,Height,9,-0.2963813543,"a,e"
Shanghai,Height,15,-0.203372851,"a,e"
Shanghai,Height,30,0.2436831743,"a,e"
Shanghai,Height,9,-0.3618527055,"a,e"
Wuhan,Height,9,-0.4239830077,"a,e"
Shanghai,Height,15,-0.1334548593,"a,e"
Wuhan,Height,33,0.1752524823,"a,e"
Shanghai,Height,15,-0.04952764511,"a,e"
Shanghai,Height,18,-0.1392530948,"a,e"
Shanghai,Height,18,-0.03545828164,"a,e"
Beijing,Height,15,-0.1189314201,"a,e"
Shanghai,Height,9,-0.4678559601,"a,e"
Guangzhou,Height,6,-0.3523167372,"a,e"
Beijing,Height,18,-0.09425674379,"a,e"
Wuhan,Height,18,-0.1234935299,"a,e"
Shanghai,Height,18,-0.1124639586,"a,e"
Shanghai,Height,18,-0.1586025804,"a,e"
Shanghai,Height,18,-0.1137211248,"a,e"
Shanghai,Height,18,-0.2463506311,"a,e"
Wuhan,Height,9,-0.2620260119,"a,e"
Shanghai,Height,6,-0.2154382318,"a,e"
Wuhan,Height,30,0.05860891193,"a,e"
Shanghai,Height,18,-0.1566328108,"a,e"
Shanghai,Height,36,0.3130150139,"a,e"
Guangzhou,Height,15,-0.03092696145,"a,e"
Shanghai,Height,24,0.09047542512,"a,e"
Guangzhou,Height,30,0.2925691605,"a,e"
