City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,Price,30123,0.02459612116,"a,g"
Wuhan,Price,7537,-0.03252153471,"a,g"
Beijing,Price,120000,-0.3185531199,"a,g"
Shanghai,Price,56000,-0.001863963902,"a,g"
Shanghai,Price,26275,0.322049439,"a,g"
Wuhan,Price,14580,0.1571487933,"a,g"
Shanghai,Price,108047,-0.3114382625,"a,g"
Wuhan,Price,12369,0.1299601793,"a,g"
Shanghai,Price,52366,-0.107808128,"a,g"
Shanghai,Price,57965,0.1962260753,"a,g"
Wuhan,Price,5735,0.1448216289,"a,g"
Wuhan,Price,14178,0.1291254014,"a,g"
Wuhan,Price,9256,-0.2275668234,"a,g"
Beijing,Price,80115,-0.2156332582,"a,g"
Shanghai,Price,51805,0.1449598372,"a,g"
Shanghai,Price,17640,-0.0107485801,"a,g"
Wuhan,Price,12618,0.3554715216,"a,g"
Shanghai,Price,67771,0.001541052479,"a,g"
Shanghai,Price,59271,-0.009941599332,"a,g"
Wuhan,Price,11998,0.1480620801,"a,g"
Shanghai,Price,41974,-0.3865735233,"a,g"
Shanghai,Price,34200,-0.123862654,"a,g"
Wuhan,Price,12054,0.1778330207,"a,g"
Beijing,Price,23223,-0.02083246224,"a,g"
Shanghai,Price,40608,-0.3776326776,"a,g"
Shanghai,Price,72049,-0.04306203872,"a,g"
Guangzhou,Price,37106,-0.2761927843,"a,g"
Shanghai,Price,38000,-0.09867108613,"a,g"
Shanghai,Price,49200,-0.06727226824,"a,g"
Shanghai,Price,47325,-0.02234216407,"a,g"
Beijing,Price,33194,-0.1711762547,"a,g"
Shanghai,Price,54500,0.04539689422,"a,g"
Shanghai,Price,22209,0.02637533098,"a,g"
Shanghai,Price,54192,0.03192362934,"a,g"
Shanghai,Price,71388,-0.05008172616,"a,g"
Wuhan,Price,11837,0.2341444939,"a,g"
Shanghai,Price,47800,-0.02944097668,"a,g"
Shanghai,Price,89937,-0.07119640708,"a,g"
Shanghai,Price,52952,0.05532735959,"a,g"
Shanghai,Price,39749,-0.2110474408,"a,g"
Guangzhou,Price,29213,0.0875512138,"a,g"
Shanghai,Price,42844,-0.4741972983,"a,g"
Shanghai,Price,25807,0.1241619512,"a,g"
Wuhan,Price,7070,0.1898280531,"a,g"
Beijing,Price,50908,-0.0358777307,"a,g"
Shanghai,Price,28764,0.05871123821,"a,g"
Shanghai,Price,30297,0.1174589247,"a,g"
Shanghai,Price,14381,0.06989910454,"a,g"
Beijing,Price,50959,-0.1145402193,"a,g"
Shanghai,Price,71620,-0.06515584141,"a,g"
Beijing,Price,58926,-0.1439085305,"a,g"
Shanghai,Price,53219,-0.004119539633,"a,g"
Shanghai,Price,37755,-0.0306114722,"a,g"
Beijing,Price,50796,-0.09709309042,"a,g"
Guangzhou,Price,12183,0.07708488405,"a,g"
Shanghai,Price,53060,0.08699436486,"a,g"
Shanghai,Price,22400,0.0009636256727,"a,g"
Shanghai,Price,20490,-0.02505819686,"a,g"
Wuhan,Price,10389,-0.1581680924,"a,g"
Beijing,Price,69358,-0.1501489282,"a,g"
Shanghai,Price,74399,0.01752056926,"a,g"
Shanghai,Price,66886,-0.1299777925,"a,g"
Guangzhou,Price,49500,-0.03316506743,"a,g"
Shanghai,Price,30110,0.08144132793,"a,g"
Shanghai,Price,33939,-0.02829570509,"a,g"
Wuhan,Price,18772,-0.02843340114,"a,g"
Shanghai,Price,45891,-0.1147674248,"a,g"
