City,Feature,Feature_value,SHAP_value,used_in_panels
Beijing,Effective_Age,6,-0.06305732578,"a,h"
Shanghai,Effective_Age,7,-0.3684760928,"a,h"
Shanghai,Effective_Age,31,0.08975701779,"a,h"
Shanghai,Effective_Age,14,-0.09294032305,"a,h"
Shanghai,Effective_Age,20,-0.1366783231,"a,h"
Wuhan,Effective_Age,17,-0.00770875765,"a,h"
Shanghai,Effective_Age,5,-0.216539979,"a,h"
Shanghai,Effective_Age,16,-0.09767496586,"a,h"
Beijing,Effective_Age,13,-0.04729602858,"a,h"
Shanghai,Effective_Age,63,0.1304534972,"a,h"
Shanghai,Effective_Age,13,-0.1528586,"a,h"
Guangzhou,Effective_Age,31,0.004093894735,"a,h"
Shanghai,Effective_Age,15,-0.06030635908,"a,h"
Shanghai,Effective_Age,10,-0.2202460319,"a,h"
Guangzhou,Effective_Age,27,0.08526108414,"a,h"
Shanghai,Effective_Age,17,0.02539150603,"a,h"
Shanghai,Effective_Age,13,-0.1274974197,"a,h"
Shanghai,Effective_Age,22,-0.03014771827,"a,h"
Wuhan,Effective_Age,22,-0.04675468802,"a,h"
Guangzhou,Effective_Age,25,-0.05071245134,"a,h"
Shanghai,Effective_Age,13,-0.03681448102,"a,h"
Wuhan,Effective_Age,8,-0.3095214069,"a,h"
Shanghai,Effective_Age,81,0.3496164382,"a,h"
Wuhan,Effective_Age,22,0.002579600085,"a,h"
Shanghai,Effective_Age,13,-0.1705473214,"a,h"
Shanghai,Effective_Age,11,-0.1397158504,"a,h"
Shanghai,Effective_Age,12,-0.179569453,"a,h"
Guangzhou,Effective_Age,11,-0.08608137816,"a,h"
Beijing,Effective_Age,69,0.4608641267,"a,h"
Wuhan,Effective_Age,19,-0.06299369782,"a,h"
Wuhan,Effective_Age,18,0.02536535263,"a,h"
Shanghai,Effective_Age,12,-0.2677806318,"a,h"
Wuhan,Effective_Age,21,-0.1248746365,"a,h"
Shanghai,Effective_Age,22,-0.0004271961516,"a,h"
Shanghai,Effective_Age,17,-0.05935913697,"a,h"
Shanghai,Effective_Age,6,0.06155478209,"a,h"
Shanghai,Effective_Age,32,0.1217037216,"a,h"
Shanghai,Effective_Age,12,-0.02501451783,"a,h"
Shanghai,Effective_Age,14,-0.0541494377,"a,h"
Wuhan,Effective_Age,5,-0.4117729664,"a,h"
Shanghai,Effective_Age,17,0.01660964265,"a,h"
Shanghai,Effective_Age,12,-0.04055021703,"a,h"
Beijing,Effective_Age,28,0.01453500427,"a,h"
Shanghai,Effective_Age,20,-0.04076074809,"a,h"
Beijing,Effective_Age,9,-0.2603349984,"a,h"
Beijing,Effective_Age,16,-0.012365737,"a,h"
Beijing,Effective_Age,14,-0.1468249112,"a,h"
Shanghai,Effective_Age,14,-0.1146971285,"a,h"
Shanghai,Effective_Age,19,-0.02893558331,"a,h"
Shanghai,Effective_Age,26,-0.04936810955,"a,h"
Shanghai,Effective_Age,7,-0.2854737639,"a,h"
Shanghai,Effective_Age,7,-0.2846196592,"a,h"
Shanghai,Effective_Age,16,0.02671094798,"a,h"
Wuhan,Effective_Age,7,-0.2942511737,"a,h"
Shanghai,Effective_Age,57,0.2189547122,"a,h"
Beijing,Effective_Age,7,-0.1986244917,"a,h"
Shanghai,Effective_Age,37,0.1363496184,"a,h"
Shanghai,Effective_Age,22,-0.02709447779,"a,h"
Wuhan,Effective_Age,14,-0.1363773197,"a,h"
Wuhan,Effective_Age,10,-0.08261006325,"a,h"
Beijing,Effective_Age,18,-0.06606669724,"a,h"
Shanghai,Effective_Age,26,0.02316627838,"a,h"
Wuhan,Effective_Age,24,0.03390422091,"a,h"
Wuhan,Effective_Age,7,-0.3873093128,"a,h"
Beijing,Effective_Age,6,-0.3433049619,"a,h"
Shanghai,Effective_Age,32,0.1322345585,"a,h"
Beijing,Effective_Age,17,0.008576371707,"a,h"
Shanghai,Effective_Age,19,-0.08328227699,"a,h"
Wuhan,Effective_Age,16,-0.06110488996,"a,h"
Shanghai,Effective_Age,14,-0.1148796901,"a,h"
Wuhan,Effective_Age,7,-0.2734007537,"a,h"
Beijing,Effective_Age,3,-0.2408143282,"a,h"
Wuhan,Effective_Age,8,-0.1382349879,"a,h"
Beijing,Effective_Age,10,-0.109743163,"a,h"
