City,Feature,Feature_value,SHAP_value,used_in_panels
Beijing,Plot_Ratio,0.5,-0.1342961788,"a,i"
Beijing,Plot_Ratio,1.6,0.03454118967,"a,i"
Guangzhou,Plot_Ratio,0.8,-0.3591118753,"a,i"
Wuhan,Plot_Ratio,0.33,-0.2433955669,"a,i"
Wuhan,Plot_Ratio,2.69,0.3096772134,"a,i"
Guangzhou,Plot_Ratio,0.8,-0.4623367488,"a,i"
Guangzhou,Plot_Ratio,1.2,-0.0276174359,"a,i"
Shanghai,Plot_Ratio,1.2,-0.09594839811,"a,i"
Beijing,Plot_Ratio,2.32,-0.05390803888,"a,i"
Shanghai,Plot_Ratio,2.0,-0.01272029057,"a,i"
Beijing,Plot_Ratio,1.7,0.02046644315,"a,i"
Beijing,Plot_Ratio,1.2,-0.08960221708,"a,i"
Guangzhou,Plot_Ratio,2.0,-0.05906104296,"a,i"
Shanghai,Plot_Ratio,3.3,-0.03642967716,"a,i"
Beijing,Plot_Ratio,2.6,0.07624256611,"a,i"
Guangzhou,Plot_Ratio,2.2,0.1976953596,"a,i"
Guangzhou,Plot_Ratio,2.54,0.057425946,"a,i"
Wuhan,Plot_Ratio,1.2,-0.1652354002,"a,i"
Guangzhou,Plot_Ratio,0.32,-0.4126921892,"a,i"
Shanghai,Plot_Ratio,3.0,-0.01626994461,"a,i"
Shanghai,Plot_Ratio,2.0,-0.01109014545,"a,i"
Shanghai,Plot_Ratio,2.2,0.07039882243,"a,i"
Shanghai,Plot_Ratio,0.8,-0.2780473232,"a,i"
Shanghai,Plot_Ratio,0.5,-0.1849211305,"a,i"
Guangzhou,Plot_Ratio,1.5,0.06157902628,"a,i"
Shanghai,Plot_Ratio,0.5,-0.2568465173,"a,i"
Wuhan,Plot_Ratio,4.06,0.3562954366,"a,i"
Shanghai,Plot_Ratio,1.8,-0.0368107222,"a,i"
Wuhan,Plot_Ratio,4.0,0.2830592692,"a,i"
Shanghai,Plot_Ratio,0.53,-0.2847058177,"a,i"
Shanghai,Plot_Ratio,1.8,-0.03637417778,"a,i"
Shanghai,Plot_Ratio,1.3,0.02446580306,"a,i"
Shanghai,Plot_Ratio,0.28,0.1778885871,"a,i"
Beijing,Plot_Ratio,1.7,-0.01714723185,"a,i"
Shanghai,Plot_Ratio,1.5,0.06100051478,"a,i"
Beijing,Plot_Ratio,1.2,-0.08484061062,"a,i"
Wuhan,Plot_Ratio,1.2,-0.08730419725,"a,i"
Beijing,Plot_Ratio,2.7,0.2779260576,"a,i"
Shanghai,Plot_Ratio,1.8,0.00589103112,"a,i"
Wuhan,Plot_Ratio,2.02,-0.01427574176,"a,i"
Shanghai,Plot_Ratio,2.19,-0.004847151693,"a,i"
Shanghai,Plot_Ratio,2.0,-0.01664768718,"a,i"
Shanghai,Plot_Ratio,1.8,-0.01425658911,"a,i"
Shanghai,Plot_Ratio,1.2,-0.1583179981,"a,i"
Beijing,Plot_Ratio,3.0,0.04041657597,"a,i"
Shanghai,Plot_Ratio,1.2,-0.1122922376,"a,i"
Beijing,Plot_Ratio,1.5,0.05482627824,"a,i"
Shanghai,Plot_Ratio,0.75,-0.2281822264,"a,i"
Shanghai,Plot_Ratio,0.5,-0.209613353,"a,i"
Shanghai,Plot_Ratio,1.5,-0.01874060929,"a,i"
Shanghai,Plot_Ratio,1.5,0.0002602791646,"a,i"
Beijing,Plot_Ratio,1.0,-0.001909859478,"a,i"
Shanghai,Plot_Ratio,1.5,0.1495178938,"a,i"
Shanghai,Plot_Ratio,0.9,0.09583172202,"a,i"
Guangzhou,Plot_Ratio,1.2,-0.2082380205,"a,i"
Wuhan,Plot_Ratio,2.83,0.08134807646,"a,i"
Shanghai,Plot_Ratio,0.87,0.0490103364,"a,i"
Beijing,Plot_Ratio,1.1,-0.2067873925,"a,i"
Wuhan,Plot_Ratio,3.77,0.03930503875,"a,i"
Shanghai,Plot_Ratio,1.5,0.08782315999,"a,i"
Guangzhou,Plot_Ratio,0.94,-0.07254101336,"a,i"
Shanghai,Plot_Ratio,2.1,0.01723831706,"a,i"
Shanghai,Plot_Ratio,1.8,0.03545681387,"a,i"
Shanghai,Plot_Ratio,1.51,0.004662087653,"a,i"
Wuhan,Plot_Ratio,1.14,-0.1729150712,"a,i"
Wuhan,Plot_Ratio,3.0,0.1673742831,"a,i"
Beijing,Plot_Ratio,2.8,0.04786321521,"a,i"
Shanghai,Plot_Ratio,1.5,0.09796444327,"a,i"
Shanghai,Plot_Ratio,0.72,-0.2474110425,"a,i"
Shanghai,Plot_Ratio,3.23,-0.06701437384,"a,i"
Shanghai,Plot_Ratio,0.85,-0.06123441085,"a,i"
Beijing,Plot_Ratio,1.3,0.06867016107,"a,i"
Guangzhou,Plot_Ratio,0.8,-0.3921768665,"a,i"
Beijing,Plot_Ratio,1.5,-0.01650387794,"a,i"
Wuhan,Plot_Ratio,1.83,0.007852197625,"a,i"
Guangzhou,Plot_Ratio,0.8,-0.3588964641,"a,i"
Wuhan,Plot_Ratio,2.5,0.1462879181,"a,i"
Wuhan,Plot_Ratio,0.33,-0.2918832898,"a,i"
Shanghai,Plot_Ratio,1.8,0.004557660781,"a,i"
Beijing,Plot_Ratio,2.0,-0.03243772313,"a,i"
Shanghai,Plot_Ratio,1.66,0.02326969244,"a,i"
Shanghai,Plot_Ratio,1.2,-0.2677023709,"a,i"
Shanghai,Plot_Ratio,0.75,-0.339450717,"a,i"
Shanghai,Plot_Ratio,1.33,-0.006202139892,"a,i"
Shanghai,Plot_Ratio,2.85,0.1819419265,"a,i"
Guangzhou,Plot_Ratio,2.0,-0.07182253152,"a,i"
Wuhan,Plot_Ratio,1.2,-0.1981073171,"a,i"
Beijing,Plot_Ratio,1.2,-0.2893276513,"a,i"
Shanghai,Plot_Ratio,1.7,0.06015440077,"a,i"
Wuhan,Plot_Ratio,1.2,-0.1575805098,"a,i"
Shanghai,Plot_Ratio,0.5,-0.2327198535,"a,i"
Shanghai,Plot_Ratio,2.1,0.0375953503,"a,i"
Shanghai,Plot_Ratio,1.2,-0.01423398219,"a,i"
Shanghai,Plot_Ratio,0.4,-0.1839740127,"a,i"
Wuhan,Plot_Ratio,2.25,0.1496921182,"a,i"
Beijing,Plot_Ratio,1.38,0.03583489358,"a,i"
Wuhan,Plot_Ratio,3.0,0.07350701094,"a,i"
Wuhan,Plot_Ratio,1.5,0.08054701239,"a,i"
Shanghai,Plot_Ratio,0.6,-0.3455916047,"a,i"
Wuhan,Plot_Ratio,2.41,-0.08449519426,"a,i"
Beijing,Plot_Ratio,1.04,0.04889298603,"a,i"
Shanghai,Plot_Ratio,1.2,-0.06773722917,"a,i"
Shanghai,Plot_Ratio,2.5,-0.007057240233,"a,i"
Shanghai,Plot_Ratio,1.6,0.06334577501,"a,i"
Wuhan,Plot_Ratio,0.33,-0.2315748334,"a,i"
Shanghai,Plot_Ratio,1.0,0.08913508058,"a,i"
Wuhan,Plot_Ratio,2.1,-0.03751412779,"a,i"
Shanghai,Plot_Ratio,1.2,-0.05810520798,"a,i"
Shanghai,Plot_Ratio,1.33,-0.05567088351,"a,i"
Shanghai,Plot_Ratio,1.2,-0.199713394,"a,i"
Shanghai,Plot_Ratio,1.6,0.01576565579,"a,i"
Beijing,Plot_Ratio,1.5,-0.01660543121,"a,i"
Shanghai,Plot_Ratio,0.7,-0.2545062006,"a,i"
Beijing,Plot_Ratio,1.5,0.07738249004,"a,i"
Shanghai,Plot_Ratio,1.0,0.08367098123,"a,i"
Shanghai,Plot_Ratio,0.38,-0.1191098914,"a,i"
Shanghai,Plot_Ratio,2.3,-0.01316189859,"a,i"
Shanghai,Plot_Ratio,1.0,0.1527426392,"a,i"
Beijing,Plot_Ratio,1.5,-0.0161854811,"a,i"
Beijing,Plot_Ratio,0.39,-0.2429808825,"a,i"
Wuhan,Plot_Ratio,2.2,0.06628163904,"a,i"
Guangzhou,Plot_Ratio,1.5,-0.01278938726,"a,i"
Shanghai,Plot_Ratio,1.8,-0.05195612833,"a,i"
Guangzhou,Plot_Ratio,1.5,0.02464751713,"a,i"
Shanghai,Plot_Ratio,1.9,-0.03638139367,"a,i"
Shanghai,Plot_Ratio,1.2,-0.1266949922,"a,i"
Shanghai,Plot_Ratio,0.6,-0.2599271834,"a,i"
Shanghai,Plot_Ratio,1.5,0.0759389922,"a,i"
Shanghai,Plot_Ratio,0.73,-0.3145928681,"a,i"
Shanghai,Plot_Ratio,1.5,0.04791918769,"a,i"
