City,Feature,Feature_value,SHAP_value,used_in_panels
Shanghai,Fee,0.4,-0.199877128,"a,j"
Shanghai,Fee,4.2,0.2192220092,"a,j"
Shanghai,Fee,0.5,0.07290825248,"a,j"
Shanghai,Fee,2.3,-0.1329889596,"a,j"
Shanghai,Fee,1.2,-0.154128775,"a,j"
Shanghai,Fee,1.3,0.01476756949,"a,j"
Beijing,Fee,1.68,-0.05893983692,"a,j"
Beijing,Fee,0.7,-0.1720305383,"a,j"
Shanghai,Fee,0.3,-0.1003518105,"a,j"
Beijing,Fee,3.0,0.06559489667,"a,j"
Wuhan,Fee,1.0,-0.01432228927,"a,j"
Beijing,Fee,0.8,-0.01045555249,"a,j"
Shanghai,Fee,5.6,-0.2039527893,"a,j"
Beijing,Fee,3.0,0.1156110018,"a,j"
Shanghai,Fee,2.8,-0.04080951214,"a,j"
Shanghai,Fee,2.25,0.03428780288,"a,j"
Shanghai,Fee,2.5,-0.03406089544,"a,j"
Guangzhou,Fee,3.7,0.08601728082,"a,j"
Shanghai,Fee,1.2,0.08051732928,"a,j"
Guangzhou,Fee,3.5,0.2625448406,"a,j"
Shanghai,Fee,3.45,-0.02489029616,"a,j"
Shanghai,Fee,0.55,0.01019333955,"a,j"
Shanghai,Fee,2.9,0.04079691693,"a,j"
Shanghai,Fee,0.7,0.02800893597,"a,j"
Wuhan,Fee,1.0,-0.1164837927,"a,j"
Wuhan,Fee,0.5,-0.0381952934,"a,j"
Beijing,Fee,0.9,-0.1137490273,"a,j"
Shanghai,Fee,1.2,0.08538538963,"a,j"
Shanghai,Fee,1.36,-0.04797992483,"a,j"
Shanghai,Fee,1.62,-0.04543820396,"a,j"
Guangzhou,Fee,1.0,-0.09271516651,"a,j"
Shanghai,Fee,0.8,-0.1086037606,"a,j"
Wuhan,Fee,0.5,-0.10859707,"a,j"
Shanghai,Fee,0.8,-0.02920024097,"a,j"
Wuhan,Fee,0.8,-0.04625365138,"a,j"
Guangzhou,Fee,1.8,-0.1011057943,"a,j"
Wuhan,Fee,1.0,-0.1011111736,"a,j"
Wuhan,Fee,1.7,0.1177924722,"a,j"
Shanghai,Fee,0.9,-0.04285837337,"a,j"
Shanghai,Fee,0.35,-0.2422263175,"a,j"
Wuhan,Fee,0.5,-0.06398764998,"a,j"
Wuhan,Fee,1.8,0.0549745895,"a,j"
Wuhan,Fee,0.9,-0.09542069584,"a,j"
Shanghai,Fee,0.6,-0.02132730559,"a,j"
Shanghai,Fee,0.8,-0.1075276881,"a,j"
Wuhan,Fee,0.6,-0.05979551747,"a,j"
Wuhan,Fee,0.5,-0.1014399007,"a,j"
Shanghai,Fee,4.0,0.1568207741,"a,j"
Guangzhou,Fee,1.5,-0.1588736475,"a,j"
Wuhan,Fee,0.8,-0.05499568954,"a,j"
Shanghai,Fee,6.2,-0.4110474885,"a,j"
Wuhan,Fee,0.8,-0.0910507068,"a,j"
Shanghai,Fee,5.0,-0.8470522165,"a,j"
Shanghai,Fee,0.5,0.02308613993,"a,j"
Shanghai,Fee,1.25,-0.004034250043,"a,j"
Shanghai,Fee,0.3,0.664911747,"a,j"
Shanghai,Fee,0.85,-0.02610259503,"a,j"
Shanghai,Fee,2.0,-0.06078954414,"a,j"
Shanghai,Fee,0.9,-0.01437353529,"a,j"
Wuhan,Fee,0.5,-0.02569010481,"a,j"
Shanghai,Fee,1.35,-0.03399524093,"a,j"
Beijing,Fee,0.6,-0.05889460072,"a,j"
Shanghai,Fee,1.8,-0.1801958829,"a,j"
Guangzhou,Fee,2.5,-0.1704064459,"a,j"
Beijing,Fee,0.98,-0.05901269987,"a,j"
Wuhan,Fee,1.2,-0.02118705958,"a,j"
Guangzhou,Fee,0.9,-0.04934827238,"a,j"
Beijing,Fee,0.4,0.1621669531,"a,j"
Beijing,Fee,1.9,0.0181804169,"a,j"
Guangzhou,Fee,2.0,-0.1870700866,"a,j"
Beijing,Fee,0.5,0.07644946128,"a,j"
Shanghai,Fee,6.2,-0.6147184372,"a,j"
Shanghai,Fee,2.4,-0.1856731325,"a,j"
Beijing,Fee,1.9,0.06277652085,"a,j"
Wuhan,Fee,2.2,0.1862648129,"a,j"
Shanghai,Fee,0.6,-0.004679467995,"a,j"
Shanghai,Fee,0.75,-0.01807441004,"a,j"
Wuhan,Fee,1.2,0.02432317287,"a,j"
Shanghai,Fee,1.1,-0.04013540596,"a,j"
Wuhan,Fee,2.98,0.2172254771,"a,j"
Shanghai,Fee,6.8,-0.6013354659,"a,j"
Shanghai,Fee,0.5,-0.04852856323,"a,j"
Shanghai,Fee,0.8,-0.003310652915,"a,j"
Shanghai,Fee,0.65,-0.06569294631,"a,j"
Shanghai,Fee,0.5,-0.04557308182,"a,j"
Shanghai,Fee,2.5,-0.04398382083,"a,j"
Shanghai,Fee,4.46,0.139071241,"a,j"
Shanghai,Fee,2.2,0.005012625363,"a,j"
Shanghai,Fee,2.3,0.008695723489,"a,j"
