cluster_cn,cluster_en,case_count,layer,layer_en,rank,factor_cn,factor_en,raw_count,layer_total_count,layer_original_total_count,raw_pct,display_pct,is_others,others_components,excluded_zero_flow_components
老破小,Aging low-rise stock,929,trigger,Ignition sources,1,机动车辆自燃起火,Motor-vehicle,52,198,201,26.262626,26.3,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,2,电动自行车起火,E-bike,35,198,201,17.676768,17.7,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,3,新能源汽车电池起火,NEV battery,18,198,201,9.090909,9.1,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,4,燃气泄漏爆燃,Gas leak deflagration,18,198,201,9.090909,9.1,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,5,充电过程异常起火,Charging anomaly,13,198,201,6.565657,6.6,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,6,电动车相关起火,EV-related,13,198,201,6.565657,6.6,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,7,电气线路短路起火,Electrical short-circuit,13,198,201,6.565657,6.6,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,8,烟花爆竹燃放引燃,Firework ignition,11,198,201,5.555556,5.5,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,9,锂电池热失控起火,Li-battery thermal runaway,11,198,201,5.555556,5.5,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,10,烟头遗留火种,Cigarette ignition,9,198,201,4.545455,4.5,False,,祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,trigger,Ignition sources,11,其他,Others,5,198,201,2.525253,2.5,True,油锅干烧引燃 (3); 电焊切割动火引燃 (1); 飞线充电引发起火 (1),祭祀烧纸明火引燃 (2); 生活明火遗留引燃 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,1,市场商铺货物密集,Dense market storage,30,150,153,20.0,20.0,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,2,后厨油污明火环境,Grease-laden kitchens,26,150,153,17.333333,17.3,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,3,楼道楼梯间堆物占用,Stairwell clutter,24,150,153,16.0,16.0,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,4,仓库堆场物料堆积,Warehouse stockpiling,18,150,153,12.0,12.0,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,5,可燃物暴露堆积,Exposed combustibles,16,150,153,10.666667,10.7,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,6,厂房车间作业暴露,Workshop exposure,15,150,153,10.0,10.0,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,7,楼内杂物堆积,In-building debris,10,150,153,6.666667,6.7,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,8,地下空间烟热蓄积,Underground smoke/heat,9,150,153,6.0,6.0,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,catalyst,Catalysts,9,老旧线路持续带病运行,Deteriorated wiring,2,150,153,1.333333,1.3,False,,外墙保温材料易燃 (2); 群租三合一混合暴露 (1)
老破小,Aging low-rise stock,929,failure,Suppression failures,1,初期灭火报警设施不可用,Alarm/suppression unavail.,44,119,121,36.97479,37.0,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,2,物业巡查与初期处置失效,Patrol & initial response,44,119,121,36.97479,37.0,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,3,电动自行车入户停放阻碍处置,Indoor e-bike parking,13,119,121,10.92437,10.9,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,4,疏散通道堆物堵塞,Evacuation route blocked,13,119,121,10.92437,10.9,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,5,安全出口锁闭封堵,Emergency exit blocked,3,119,121,2.521008,2.5,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,6,用火用电无人看管,Unattended fire/elec. use,1,119,121,0.840336,0.9,False,,集中充电设施供给不足 (2)
老破小,Aging low-rise stock,929,failure,Suppression failures,7,私拉乱接电线失管,Unmanaged illegal wiring,1,119,121,0.840336,0.8,False,,集中充电设施供给不足 (2)
超高层,High-rise vertical stock,386,trigger,Ignition sources,1,电动自行车起火,E-bike,25,61,80,40.983607,41.0,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,trigger,Ignition sources,2,机动车辆自燃起火,Motor-vehicle,13,61,80,21.311475,21.3,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,trigger,Ignition sources,3,充电过程异常起火,Charging anomaly,6,61,80,9.836066,9.8,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,trigger,Ignition sources,4,烟头遗留火种,Cigarette ignition,6,61,80,9.836066,9.8,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,trigger,Ignition sources,5,燃气泄漏爆燃,Gas leak deflagration,5,61,80,8.196721,8.2,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
超高层,High-rise vertical stock,386,trigger,Ignition sources,6,电气线路短路起火,Electrical short-circuit,4,61,80,6.557377,6.6,False,,电动车相关起火 (7); 烟花爆竹燃放引燃 (5); 祭祀烧纸明火引燃 (3); 油锅干烧引燃 (2); 锂电池热失控起火 (1); 飞线充电引发起火 (1)
