Public_file,Field,Description,Unit,Context,Missing_values
code/data/social_sensing/shanghai_manual_validation.csv,public_record_id,"Retained anonymous source key; repeated keys are preserved (446 rows, 419 distinct keys)","anonymous key, not unique row index",Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_manual_validation.csv,llm_judgement,Fire-case classification by the named assessment method; original categorical label retained,category/text,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_manual_validation.csv,consensus_judgement,Fire-case classification by the named assessment method; original categorical label retained,category/text,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_manual_validation.csv,valid_fire_case,"Binary fire label: 1 = positive/valid, 0 = negative/rejected",binary,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,public_event_id,Anonymous public identifier; no source-identity or location mapping is released,identifier,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,event_month,Month of the anonymous event aggregate,YYYY-MM,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,post_count,Number of posts or summed interaction count named by the field,count,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,repost_count_sum,Number of posts or summed interaction count named by the field,count,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,comment_count_sum,Number of posts or summed interaction count named by the field,count,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,praise_count_sum,Number of posts or summed interaction count named by the field,count,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,has_coordinates,Availability flag in the source record; no associated location value is released,binary,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,has_place_name,Availability flag in the source record; no associated location value is released,binary,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
code/data/social_sensing/shanghai_weibo_anonymized.csv,has_address,Availability flag in the source record; no associated location value is released,binary,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,public_building_id,Anonymous public identifier; no source-identity or location mapping is released,identifier,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,City,Named administrative unit represented by the row,category/text,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,fire,"Binary fire label: 1 = positive/valid, 0 = negative/rejected",binary,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Projected_Area,"Building footprint size, used as a proxy for building scale and exposed plan area. Projected_Area = Area.",m²,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Height,Vertical building scale. Height = Height.,m,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Plot_Ratio,Development intensity represented by floor-area ratio. Plot_Ratio equals the recorded floor-area ratio,dimensionless,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Effective_Age,Approximate building age relative to the 2022 reference year. Effective_Age = 2022 - Age. ,years,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Mean_Age_Score,Population age-composition score incorporating younger and older age groups. Population-weighted age-bin score = [2 × (f_0_2 + m_0_2) + 12 × (f_5_2 + m_5_2) + 20 × (f_15_2 + m_15_2) + 35 × (f_25_2 + m_25_2) + 55 × (f_45_2 + m_45_2) + 75 × (f_65abv_2 + m_65abv_2)] / Real_Total_Pop.,years-like score,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Pop_Density,Population intensity normalized by estimated total building floor area. Real_Total_Pop is the sum of the 12 sex-by-age-bin fields. Total_Built_Area = Projected_Area × Fnum. Pop_Density = Real_Total_Pop / Total_Built_Area.,persons m⁻² floor area,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Price,Local housing sale-price level. Price equals the recorded average housing price,CNY m⁻²,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Fee,Property management fee level. Fee equals the recorded property management fee,CNY m⁻² month⁻¹,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,EUI,Building energy-use intensity. EUI equals the UBEM-derived electricity facility energy-use intensity,kWh m⁻² (source label: kWh/sqm),Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Real_Total_Pop,Estimated total population used in the source denominator,persons,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Total_Built_Area,Estimated total building floor area; retained descriptive variable,m²,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
demo/data/shanghai_buildings_anonymized_10k.csv,Usage,Source or displayed grouping/category indicated by this field,category/text,Fixed anonymous Shanghai demonstration or validation records,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_event_counts.csv,city,Named administrative unit represented by the row,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_event_counts.csv,fire_count,Deduplicated fire-event count in the named city,events,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_fire_counts.csv,city,Named administrative unit represented by the row,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_fire_counts.csv,building_count,"Building count in the indicated inventory, model or population-valid subset",buildings,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_fire_counts.csv,fire_count,Fire-positive count within the stated row scope; events and building labels use distinct denominators,count; see table scope,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_fire_counts.csv,model_building_count,"Building count in the indicated inventory, model or population-valid subset",buildings,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_city_fire_counts.csv,model_fire_count,Fire-positive count within the stated row scope; events and building labels use distinct denominators,count; see table scope,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_all_building_types.csv,city,Named administrative unit represented by the row,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_all_building_types.csv,building_type,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_all_building_types.csv,count,Count or denominator for the row group indicated by the table,count,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_all_building_types.csv,percentage,Percentage of the denominator specified in the table or its README,%,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_fire_building_types.csv,city,Named administrative unit represented by the row,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_fire_building_types.csv,building_type,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_fire_building_types.csv,fire_count,Fire-positive count within the stated row scope; events and building labels use distinct denominators,count; see table scope,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_detailed_fire_building_types.csv,percentage,Percentage of the denominator specified in the table or its README,%,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,subset,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,source_category,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,display_category,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,count,Count or denominator for the row group indicated by the table,count,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,display_denominator,Count or denominator for the row group indicated by the table,count,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,percentage,Percentage of the denominator specified in the table or its README,%,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,display_percentage,Percentage of the denominator specified in the table or its README,%,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
figure/figure2/a/Fig2a_displayed_function_composition.csv,excluded_category,Source or displayed grouping/category indicated by this field,category/text,City counts or building-function counts and denominators,Blank means unavailable or not applicable; source values are retained
