Public_file,Source,Processing,SHA256
demo/data/shanghai_buildings_anonymized_10k.csv,Fixed anonymized Shanghai demonstration sample,Byte-identical copy of processed source data,4214546c0fab58db6afe469eaabc213c4956ddfe864d10dc77eb686e86f2f678
code/data/social_sensing/shanghai_weibo_anonymized.csv,Deduplicated anonymous Shanghai event aggregates,Byte-identical copy of processed source data,25de271076e0ad841d139e0c6bddfb3c2ea2cfaf999d5bc844bb37f50309ff3b
code/data/social_sensing/shanghai_manual_validation.csv,Shanghai retained-record manual validation,Rename anonymous ID and judgement fields; encode yes/no as 1/0; UTF-8 BOM for spreadsheet compatibility,598cbe2dbb5d6315f99e2d4665feefdea2bd80a64e2998e03f5f60705b15627d
figure/figure2/a/Fig2a_city_fire_counts.csv,Figure 2 processed city and building-function summaries,Byte-identical copy of processed source data,aa87929de2a2444d24791a421b7861b1338a99799058b0c5e1340910297b70fe
figure/figure2/a/Fig2a_city_event_counts.csv,Figure 2 processed city and building-function summaries,Byte-identical copy of processed source data,298e0011f5e4752802a4693fc3fcfd227e3ab481cf7f2bcd48ac3223c31f2ae1
figure/figure2/a/Fig2a_displayed_function_composition.csv,Figure 2 processed city and building-function summaries,Byte-identical copy of processed source data,560d1c391750c4bb0ae848edf203cf12328fdac539ebb74583fa8b566e639974
figure/figure2/a/Fig2a_detailed_all_building_types.csv,Figure 2 processed city and building-function summaries,Byte-identical copy of processed source data,c1eda3d087458da3ee0b9fbe8145c0c14f816c23ada8774649b6cd3ebc58daae
figure/figure2/a/Fig2a_detailed_fire_building_types.csv,Figure 2 processed city and building-function summaries,Byte-identical copy of processed source data,761d3a9b2318be6c65c0a757632add6abd9df25b0e5d4cbdcae6cc28b169553e
figure/figure2/a/Fig2a_national_city_counts.csv,National city-level event summary used in the Figure 2 analysis,Byte-identical copy of processed source data,929d65e242e567d13ae4b7151994a84347131a85ddbc50a2e2355c440361c299
figure/figure2/b/Fig2b_city_summary.csv,Figure 2 four-city spatial study context,Select non-spatial city totals; no KDE cells or event locations,78c773f630e894f952555397f9d058ca4642a956838e471f58c9f1d339652b67
figure/figure3/a/Fig3a_age_fire_relationship.csv,Final Figure 3a processed source table,Retain numerical counts/exposure/rates; apply author-confirmed 2016-2025 observation metadata,64573ad1a1c704eb063a440dccd6a1ce6e1b70f330469da3e13fbd48e73624f7
figure/figure3/b/bivariate_grid.csv,Figure 3b anonymous aggregate grid,City selection only; local grid indices without geographic transform,2c741e4f69bc6221dd88e1bb67e8a7f266e5aff1ca5d3703ca59dcb6e59be55d
figure/figure3/b/class_counts.csv,Figure 3b class frequencies,Export of reported or processed aggregate values,5ff64af5cc3226f90419576af1cda935364c5fb990229dc0a71daebe5b34223a
figure/figure3/c/bivariate_grid.csv,Figure 3c anonymous aggregate grid,City selection only; local grid indices without geographic transform,da53a17779ff5b247744ee099740c6ddf5501d00b4e89588556442818ff07bbe
figure/figure3/c/class_counts.csv,Figure 3c class frequencies,Export of reported or processed aggregate values,a0c0d987dc09e71416b6dbf29d537db707de9e5070d1ae6d9ed97db5c8e8d0a1
figure/figure3/d/bivariate_grid.csv,Figure 3d anonymous aggregate grid,City selection only; local grid indices without geographic transform,966143aea1d6091f8dba807455dfa70b3a75c226aae40ff4275f3c5c9ed5048b
figure/figure3/d/class_counts.csv,Figure 3d class frequencies,Export of reported or processed aggregate values,9912061f645d275d07ebcb057278288230b514492a5f0d02d562f22e079f9375
